Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,130,0
3S INDUSTRIES PRIVATE LIMITED,0,155,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,3
A-1 SUREJA INDUSTRIES,1,0,0
AADHYA ENTERPRISES,0,36,0
AAHANA COMMERCE PVT LTD,0,391,0
AAKK AUTO PVT LTD,0,15,0
AARON INDUSTRIES,0,4,0
ABZO MOTORS PVT LTD,4,0,0
ACCRETION POWER AUTOS,0,38,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,1247
A D AGRO WORKS,0,0,8
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,259
ADIDEV TECHNOA PVT LTD,0,106,0
ADISHWAR AUTO RIDE INDIA PVT LTD,18,0,0
ADITYA AGRO INDUSTRIES,0,0,3
ADITYA SAI INDUSTRIES,0,9,0
ADM TECHNOLOGIES PVT. LTD.,0,39,0
AERODRIVE PVT LTD,0,11,0
AEROEAGLE AUTOMOBILES PVT LTD,0,0,23
AFKON AUTOMOTIVES PVT LTD,0,44,0
AFTEK MOTORS INDIA PVT LTD,4,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,6
AGRO INDUSTRIES,0,0,14
AHMED MOTORS,0,0,2
AJANTA KRUSHI YANTRA,0,0,3
AJAX ENGINEERING LTD,0,0,535
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,0,0,1
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,1
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,3
AJAY MOTORS PRIVATE LIMITED,0,25,0
A.J ENTERPRISES,0,16,0
AKASH TRAILOR,0,0,9
A.K.AUTO ELECTRICAL,0,0,1
A K AUTTO ELECTRICAL,0,2,0
AKG INTERNATIONAL,0,169,0
A K GUPTA & CO.,0,87,0
A K S ENG AGRO INDUSTRIES,0,0,4
ALIED E MOBILITY PVT LTD,0,15,0
ALLENTTI MOTORS PVT LTD,0,17,0
ALLFINE INDUSTRIES PVT LTD,0,202,0
ALL TERRAIN CRANE,0,0,222
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,218,0
ALTIGREEN PROPULSION LABS PVT LTD,0,10,0
ALTIUS EV TECH PVT LTD,2,0,0
ALTIUS TECHNOLOGIES,0,2,0
ALVI AUTO,0,13,0
AMAN ELECTRIC VEHICLES,0,53,0
AMAN ENTERPRISES BHPATNA,0,0,12
AMARJEET HARVESTER INDUSTRY,0,0,1
AMBICA TROLLEY WORKS,0,0,1
AMBIKA ENTERPRISES,0,16,0
AMBIKA INDUSTRIES,0,119,0
AMIR KHAN SAIFI STEEL WORKS,0,10,0
AMMANN APOLLO INDIA PVT LTD,0,0,28
AMO MOBILITY SOLUTIONS PVT LTD,1,0,0
AMPERE VEHICLES PRIVATE LIMITED,25,0,0
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,2
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),1,0,0
ANJALI AUTO COMPONENTS,0,4,0
ANJALI TRADERS,0,5,0
ANNAPURNA INDUSTRIES,0,0,9
ANOOP CYLINDERS PVT LTD,0,1,0
ANVITA AUTO TECH WORKS PVT LTD,2,0,0
A P I MOTORS PVT LTD,0,103,1
APM AUTO SALES,0,58,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,11
APSARA ENTERPRISE,0,176,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,1
ARCHIT ENTERPRISES,0,141,0
ARD EXIM,0,2,0
A.R. MOTOR,0,77,0
ARROW AUTOMOTIVE,0,215,0
ASAV AUTOMOTIVE PVT LTD,0,2,0
ASHA IMPEX,0,25,0
ASHLESHA POWER CONTROLS PVT LTD,0,1,0
ASHMA-MOTORS PVT LTD,0,111,0
ASHOKA INDUSTRIES BOLANGIR DUMERPALI,0,0,1
ASHOK LEYLAND LTD,0,0,15975
ASSAM FABRICATION WORKS,0,0,4
ASTON MARTIN LAGONDA LTD,0,0,1
ATHER ENERGY LTD,13097,0,0
ATTOLENT AUTO GROUP PVT LTD,0,41,0
ATUL AUTO LTD,0,2748,0
ATUL GREENTECH PRIVATE LIMITED,0,152,0
ATUMOBILE PVT LTD,6,0,0
ATUT SANGAM,0,185,0
AUDI AG,0,0,44
