Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,40,0
3S INDUSTRIES PRIVATE LIMITED,0,21,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
AADHYA ENTERPRISES,0,117,0
AADITYA EMOTORS INDIA PVT LTD,1,0,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,1,0
AAHANA COMMERCE PVT LTD,0,110,0
ACCRETION POWER AUTOS,0,50,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,584
A D AGRO WORKS,0,0,4
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,495
ADIDEV TECHNOA PVT LTD,0,60,0
ADISHWAR AUTO RIDE INDIA PVT LTD,43,0,0
ADITYA AGRO INDUSTRIES,0,0,1
ADITYA SAI INDUSTRIES,0,17,0
ADM TECHNOLOGIES PVT. LTD.,0,24,0
AFTEK MOTORS INDIA PVT LTD,8,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,4
AGRO INDUSTRIES,0,0,4
AHMED MOTORS,0,0,7
AJAX ENGINEERING LTD,0,0,267
"AJAY AGRO ENTERPRISES,SBP",0,0,1
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,1
AJAY ENTERPRISES,0,0,7
AJAY MOTORS PRIVATE LIMITED,0,17,0
AKASH TRAILOR,0,0,2
A K AUTTO ELECTRICAL,0,1,0
A K GUPTA & CO.,0,60,0
A K S ENG AGRO INDUSTRIES,0,0,2
ALBEDO VISION PVT LTD,0,5,0
ALLENTTI MOTORS PVT LTD,0,8,0
ALLFINE INDUSTRIES PVT LTD,0,963,0
ALL TERRAIN CRANE,0,0,113
ALPHA SERVICES,0,0,2
ALTIER ELECTRIC VEHICLES PVT LTD,0,207,0
ALTIGREEN PROPULSION LABS PVT LTD,0,326,1
AMAN AGRO INDUSTRIES,0,0,4
AMAN AUTOMOBILES,0,4,0
AMBIKA ENTERPRISES,0,24,0
AMBIKA INDUSTRIES,0,241,0
AMMANN APOLLO INDIA PVT LTD,0,0,14
AMO MOBILITY SOLUTIONS PVT LTD,113,0,0
AMPERE VEHICLES PRIVATE LIMITED,773,0,0
"AMRIT ENGG WORKS,DKL",0,0,3
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,7,0,0
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),14,0,0
ANJALI AUTO COMPONENTS,0,8,0
ANJALI TRADERS,0,6,0
ANKUSH AUTO DEALS,0,4,0
ANNAPURNA INDUSTRIES,0,0,1
ANVITA AUTO TECH WORKS PVT LTD,1,0,0
APARNA INDUSTRIES,0,3,0
A P I MOTORS PVT LTD,0,114,0
APM AUTO SALES,0,61,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,4
APSARA ENTERPRISE,0,67,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,2
ARCHIT ENTERPRISES,0,125,0
ARD EXIM,0,4,0
ARNA ELECTRIC AUTO PVT LTD,0,79,0
ARROW AUTOMOTIVE,0,343,0
ASHA IMPEX,0,2,0
ASHMA-MOTORS PVT LTD,0,35,0
ASHOK LEYLAND DEFENCE SYSTEMS LTD,0,0,1
ASHOK LEYLAND LTD,0,0,12136
ASSAM FABRICATION WORKS,0,0,1
ASTON MARTIN LAGONDA LTD,0,0,1
ATHER ENERGY LTD,7157,0,0
ATTOLENT AUTO GROUP PVT LTD,0,81,0
ATUL AUTO LTD,0,1719,0
ATUMOBILE PVT LTD,7,0,0
ATUT SANGAM,0,193,0
AUDI AG,0,0,86
AUTOECO GREEN ENERGY PVT LTD,0,49,0
AUTOHAUS PRIVATE LIMITED,0,4,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,1
A.V.AUTOMOTIVES PVT LTD,0,136,0
AVL ELECTRIC VEHICLES PVT LTD,0,241,0
AVON CYCLES LTD,0,73,0
AWACHAT INDUSTRIES LTD,0,0,37
AYAAN ELECTRONIC PVT LTD,9,0,0
BABA E-VEHICLES,0,180,0
BABA HARI DAS FABRICATION,0,0,1
BABA PRODUCT,0,0,1
BAGHWAN RIKSHAW UDYOG,0,4,0
BAJAJ AUTO LTD,148513,36467,76
BAJAJ IMPLEMENTS PVT. LTD,0,82,0
BALAJI AGRO INDUSTRIES,0,0,1
BALAN ENGINEERING PVT LTD,0,6,0
BAL GOPAL WHEELS PVT LTD,0,12,0
BALI AUTO INDUSTRIES,0,10,0
BANKU BODY BUILDER,0,0,1
BATTRE ELECTRIC MOBLITY PVT LTD,291,0,0
"BAUTI ENGINEERING,NAYAGARH",0,0,1
BEML LIMITED,0,0,1
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,143,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,20,0
BENTLEY MOTORS LIMITED,0,0,4
BEST WAY AGENCIES PVT LTD,0,839,0
BGAUSS AUTO PRIVATE LIMITED,923,0,0
BHADAURIA ENTERPRISES,0,27,0
BHAVE ELECTRIC VEHICLES PVT LTD,0,271,0
BHM INDUSTRIES,0,208,0
BHOYAR AGRO IND WARDHA,0,0,2
BIG BULL TRADER PVT LTD,0,44,0
BIJNOR ENTERPRISES,0,6,0
BLIX CYCLES AND E-VEHICLES PVT LTD,7,0,0
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,54
BMW INDIA PVT LTD,670,0,1105
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,14,0,0
BOUNCE ELECTRIC 1 PVT LTD,132,0,0
BRIGHT AUTOZONE PVT LTD,0,308,0
BSA MOTORS,0,0,1
BSMS AGRICULTURE WORKSHOP,0,0,8
BULL MACHINES PVT LTD,0,0,70
BYD INDIA PRIVATE LIMITED,0,0,106
CAPITAL AUTO INDUSTRIES,0,149,0
CAPTAIN TRACTORS PVT. LTD.,0,0,1055
CART INDIA,0,11,0
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,127
CATERPILLAR INDIA PRIVATE LIMITED,0,0,135
CEEON INDIA,0,74,0
CHAMPION POLY PLAST,0,1357,0
CHANDANA CORPORATION,41,0,0
CHAUHAN AUTO INDUSTRIES,0,47,0
CHEHAK BATTERIES,0,37,0
CHETAK TECHNOLOGY LIMITED,8,0,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),14,0,0
CIMMCO LIMITED,0,0,1
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,76,0
CLAAS INDIA P LTD,0,0,1
CLASSIC LEGENDS PVT LTD,2370,0,0
C M OVERSEAS,0,1,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,2387
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,3
CONTINENTAL ENGINES PVT LTD,0,499,0
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,13
CYRUS AUTO INDUSTRIES PVT LTD,0,11,0
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1508
DAKSH INDUSTRIES,0,622,0
DAO EVTECH PRIVATE LIMITED,25,0,0
DASHMESH TRADERS,0,7,0
DASMESH MECHANICAL WORKS PVT.LTD,0,0,1
DAVE EXIM PVT LTD,0,29,0
DE EUSI MOTORS PVT LTD.,0,155,0
DELTA AUTOCORP LTD,0,193,0
DELTEK ENTERPRISES PVT LTD,0,5,0
DEMAG DEMAG HC 340,0,0,4
DEV AGRO INDUSTRIES,0,0,1
DEVANGI ENG..,0,0,21
DEVI ENGINEERING WORKS,0,0,5
DHANALAKSHMI ENGINEERING WORKS,0,0,5
DHAR INTERNATIONAL,0,2,0
DIAMOND E VEHICLES,0,69,0
DILLI ELECTRIC AUTO PVT LTD,0,2720,1
DIVANSU AUTOMOBILES LTD,0,6,0
DIVYA ENTERPRISES,0,111,0
D K DIESELS PVT LTD,0,0,1
DOOSAN BOBCAT INDIA PVT LTD,0,0,54
DSF INDUSTRIES PVT LTD,0,5,0
D S INDUSTRIES,0,2,0
DUCATI INDIA PVT LTD,29,0,0
DUKE AUTO INDIA,0,106,0
DULEVO INDIA PVT LTD,0,0,2
"DURGA AGRO ENGG,BALASORE",0,0,1
DURGA ENGINEERING WORKS,0,0,15
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,10
DYS IMPEX PRIVATE LIMITED,0,82,0
E-ASHWA AUTOMOTIVE PVT LTD,0,24,0
EBUZZ MOBILITY LLP,0,2,0
ECO DYNAAMIC EQUIPMENTS,0,5,0
ECO FUEL SYSTEMS (I) PVT LTD,79,0,0
ECO SMART VEHICLES PVT LTD,0,146,0
ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,0,1,0
EDMRC MANNSCHAFT LLP,0,17,0
EFEV CHARGING SOLUTION PVT LTD,0,71,0
E-GURU AUTO ENERGY,0,8,0
EICHER MOTORS LTD,0,0,1
EICHER TRACTORS,0,0,4963
ELECTRECA VEHICLES,4,0,0
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),5,0,0
ELITE AUTO ENGINEERS PVT LTD,0,85,0
ELSA CONCRETING MACHINERY INDIA PVT LTD,0,0,1
ELTHOR ENERGY PRIVATE LIMITED,17,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,49,0
ENERGY ELECTRIC VEHICLES,0,1067,0
ENGINIA VEHICLES PVT LTD,0,30,0
ENGTIAN ELECTRIC BIKE PVT LTD,83,0,0
ENTICE IMPEX PVT LTD,0,89,0
EPOWER VEHICLES PVT LTD,0,12,0
ERISHA E MOBILITY PVT LTD,0,9,0
E ROYCE MOTORS INDIA PVT LTD,0,235,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,0,0,4
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,7434
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,406
ESCORTS TRACTORS LTD,0,0,1
E-SPRINTO GREEN ENERGY PVT LTD,25,0,0
ESSAR ENGINEERING,0,0,1
ETRIO AUTOMOBILES PVT LTD,0,6,0
EULER MOTORS PVT LTD,0,245,0
EVBHARAT RANGE PRIVATE LIMITED,0,5,0
EVEX AUTO INDIA PVT LTD,0,4,0
EVTRIC MOTORS PVT LTD,49,0,0
EXERVAL PVT LTD,16,0,0
EXIDE INDUSTRIES LTD,0,219,0
EXTRA FAST SOLUTIONS,0,76,0
EXTREME MOTORS,0,19,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,522
FEDE INDUSTRIES PVT LTD,0,70,0
FERRARI INDIA PRIVATE LIMITED,0,0,1
FERRARI SPA,0,0,2
FIADO INDUSTRIES PVT LTD,9,0,0
FIELDTRACK EARTHMOVERS PVT LTD,0,0,5
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,36,0
FIVE ELEMENTS,0,9,0
FONEX LTD,0,0,1
FORCE MOTORS LIMITED,0,0,2494
FORD INDIA PVT LTD,0,0,1
FSTMOTO (IMPORTER: AUTOICARE INNOVATION),3,0,0
FUJIYAMA POWER INFRA PVT. LTD.,7,0,0
GAGAN AUTOMOTIVES,0,53,0
GALVANIC AUTO PVT LTD,0,50,0
GANESH AGRO INDUSTRIES,0,0,10
GARIMA INDUSTRIES,0,0,6
GAYATRI AGRO INDUSTRIES,0,0,2
GAYATRI ELECTRIC VEHICLES PVT LTD,0,233,0
G & G AUTOMOTIVE,0,120,0
GILL AGRICULTURE WORKS,0,0,1
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,53,0
G.K. RICKSHAW PVT LTD,0,523,0
G. M. VEHICLE INDUSTRIES,0,1,0
GOBIND INDUSTRIES PVT LTD,0,1,0
GODAWARI ELECTRIC MOTORS PVT LTD,0,10,0
GODAWARI TECHNO SOLUTIONS PVT LTD,0,13,0
GODREJ AND BOYCE MFG CO LTD,0,0,1
GODREJ & BOYCE MFG. CO. LTD,0,0,19
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,22,0
GO GREEN EOT (ENERGY OF THINGS) PVT LTD,9,0,0
GOLDHOFER INDIA LLP,0,0,3
"GOPAL AGRO AGENCY,HALADIAPADAR,BERHAMPUR,GANJAM",0,0,2
GOPAL AUTO MOTORS PVT LTD,0,131,0
GOREEN E-MOBILITY PVT LTD,244,0,0
GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,0,19,0
GRD MOTORS,0,357,0
GREAVES ELECTRIC MOBILITY PVT LTD,2926,0,0
GREENETICS INDUSTRIES PVT LTD,0,32,0
GREEN IMPEX,0,94,0
GREEN SHUTTLE TECHNOLOGY PVT LTD,0,1,0
GREEN STAR MOTORS,0,29,0
GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,13,0
GREEN TECHNOLOGIES,0,27,0
GREENWHEELS AUTOMOBILE PVT LTD,0,81,0
GROMAX AGRI EQUIPMENT LTD,0,0,239
GROVE INDIA PVT LTD,0,0,1
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),3,0,0
GURMUKH AGRO INDUSTRIES,0,0,3
GURU JI WHEELS,0,5,0
GURUKIRPA INDUSTRIES,0,4,0
GURU NANAK AGRI ENGG WORKS,0,0,4
GURU NANAK AGRO INDUSTRIES,0,0,1
HAMM AG,0,0,1
HARJEET AGRO INDUSTRIES,0,0,6
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),18,0,0
HARMEET AGRICULTURE WORKS,0,0,5
HEMAVATHI AGRO INDUSTRIES,0,0,3
HERO ELECTRIC VEHICLES PVT. LTD,783,0,0
HERO HONDA MOTORS  LTD,1,0,0
HERO MOTOCORP LTD,350475,0,0
HIGHWAY ENGING WORKS,0,0,1
HIM TEKNOFORGE LTD,0,64,0
HIND AGRO INDUSTRIES,0,0,1
HINDUSTAN MOTOR CORPORATION,0,134,0
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,5
HIRA AGRO INDUSTRIES,0,0,12
HITECH ENGINEERING LTD,0,0,2
HI-TECH INDUSTRIES,0,7,0
HITECH  MECHANICAL WORKS,0,1,0
HITENDRA WELDING WORKS,0,0,1
H M G ENGINEERING WORKS,0,0,1
HOLLAND TRACTORS PVT LTD,0,0,1
HONDA CARS INDIA LTD,1,0,4738
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,311116,0,1
HONGKONG YIXING (IMPORTER: ADMS MARKETING),7,0,0
HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),6,0,0
HOOGHLY MOTORS PVT LTD,0,334,0
HOP ELECTRIC MOBILITY PVT LTD,15,0,0
HOP MOTORS PVT LTD,0,49,0
HOTAGE INDIA,0,1338,0
HOUSTAN INNOVATION LLP,4,0,0
HOVEL CYLINDER PVT LTD,0,5,0
H R AGRO INDUSTRIES,0,0,6
HUNDAL INDUSTRIES,0,77,1
HYKON INDIA LTD,0,6,0
HYUNDAI MOTOR INDIA LTD,0,0,48289
"HYUNDAI MOTORS LTD, SOUTH KOREA",0,0,1
INDERPREET AGRO INDUSTRIES,0,0,2
INDIA KAWASAKI MOTORS PVT LTD,250,0,0
INDIAN MOTORS,0,210,0
INDIA SAFE ENTERPRISE,0,29,0
INDIA YAMAHA MOTOR PVT LTD,49938,0,1
INDO FARM EQUIPMENT LIMITED,0,0,249
INTERNATIONAL TRACTORS LIMITED,0,0,8455
INVVIGORS INDIA,0,4,0
IPL TECH ELECTRIC PVT LTD,0,0,10
IRA EDUTECH PVT LTD,1,0,0
ISHWAR FARMLINE EQUIPMENTS PVT LTD,0,0,3
ISUKII GREENS PVT LTD,0,12,0
ISUZU MOTORS INDIA PVT LTD,0,0,154
IVOOMI INNOVATION PVT LTD,164,0,0
IZANAU ELECTRIC LLP,3,0,0
JADE KOREA SPINE LIFE,0,15,0
JADHAV AGRO INDUSTRIES PVT. LTD.,0,0,2
JAGDAMBA TRAILERS PVT LTD,0,0,25
JAGRUTI MOTORS LTD.,0,0,1
JAGUAR LAND ROVER INDIA LIMITED,0,0,267
JAI BHAVANI ENGINEERING  WORKS,0,0,3
JAIDKA POWER SYSTEMS PVT LTD,0,11,0
JAIN POWER CORP,0,2,0
JAISIK BUSINESS LINKS PVT LTD,0,52,0
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,23,0
JAJODIA COMMODITIES PVT LTD,0,88,0
JAL ENTERPRISES,0,2,0
JANTA AGRICULTURE WORKS,0,0,2
JAY AGRO INDUSTRIES,0,0,25
JAYDEV ENTERPRISE,0,3,0
J.C. BAMFORD EXCAVATORS LIMITED,0,0,1
JCB INDIA LIMITED,0,0,2635
JESSUN TECHNO PVT LTD,0,36,0
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),48,0,0
JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),2,0,0
JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),4,0,0
JIANGSU DALONG (IMPORTER: SABOO TOR),1,0,0
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),8,0,0
JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),1,0,0
JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),2,0,0
JIANGSU JINPENG (IMPORTER: KKL HITECH EV),0,1,0
JIANGSU SUNHOU (IMPORTER: SABOO TOR),2,0,0
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),4,0,0
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),64,0,0
JITENDRA NEW EV-TECH PVT. LTD,24,4,0
JITENDRA TEMPO PARTS,0,74,0
JIWAN AGRICULTURAL IMPLEMENTS WORKSHOP CIS LTD,0,0,1
JMT VEHICLES PVT LTD,0,140,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,0,4957
JOYRAM STEEL FABRICATION WORKS,0,2,0
J P AUTO TECH,0,16,0
J. S. AUTO (P) LTD,0,1102,0
JS MOBILEON PVT LTD,0,94,0
JSW MG MOTOR INDIA PVT LTD,0,0,4288
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),8,0,0
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),12,0,0
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),2,0,0
KABIRA MOBILITY LLP,7,0,0
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,44,0
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),4,0,0
KALINGA VENTURES INDIA PVT LTD,0,17,0
KALPVRIKSH ELECTOMOBILES CO,0,26,0
KAMAZ INDUSTRIES,0,21,0
KAPTECH INDIA PVT LTD,0,197,0
KARTAR AGRO INDUSTRIES PVT LTD,0,0,6
KARTAR TRACTORS PRIVATE LIMITED,0,0,9
KCAS ELECTRIC VEHICLES PVT LTD,0,22,0
K D AGRO INDUSTRIES,0,0,1
KGN,0,35,0
KGN INDUSTRIES,0,45,1
KHALSAE-VEHICLES PVT LTD,0,833,0
KHAN ENGINEERING WORKS,0,0,24
KIA INDIA PRIVATE LIMITED,0,0,18968
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,385,563,1
KION INDIA PVT LTD,0,0,97
KIRAN AUTOMOBILE INDUSTRY,0,8,0
KISSAN AGRO INDUSTRIES,0,0,1
KLB KOMAKI PVT LTD,421,0,0
KOMATSU LTD JAPAN,0,0,5
KPT MOTORS,0,16,0
KRISHNA ENGINEERING WORKS,0,87,0
KRISHNA VEHICALS,0,21,0
K.S. AGRICULTURAL INDUSTRIES PVT. LTD,0,0,1
K.S. AGROTECH  PVT LTD,0,0,2
K T ENTERPRISES,0,11,0
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,0,0,1506
KUKU AUTOMOTIVES,0,55,0
KUMAR ENGINEERING,0,231,0
KUSHAL AGRO IND,0,0,9
K. V. INDUSTRIES,0,8,0
KYTE ENERGY PVT. LTD.,50,0,0
LAKSHYA AUTO SALES CORPORATION,0,25,0
LAWAT MOTORS LLP,0,32,0
"LAXMI GOBINDA AGRO IND,BLS",0,0,4
L B AGRO PRODUCTS,0,0,8
LECTRIX E VEHICLES PVT LTD,210,775,0
LIEBHERR,0,0,4
LIUGONG INDIA PVT. LTD,0,0,69
LOCAL TRAILER MANUFACTURER,0,0,3529
LOHIA AUTO INDUSTRIES,0,126,0
LORDS VEHICLE MFG PVT LTD,0,12,0
LOTAY AGRO TECH,0,0,1
LOTEY AGRICULTURE WORKS,0,0,2
L & T CASE EQUIPMENT PVT LTD,0,0,1
L&T CONSTRUCTION EQUIPMENT LIMITED,0,0,37
MAA ENGINEERING TRAILOR,0,0,9
MAA KALPANA ENTERPRISE,0,14,0
MAA LUXMI E-VEHICLES PVT. LTD.,1,0,0
"MAA MANGALA ENTERPRISES,SNG",0,0,1
MAA SHAKTI EXIM PVT LTD,0,230,0
MAC AUTO INDIA,0,34,0
MAC INTERNATIONAL (IMPORTER:HONESTY),1,0,0
MADHU AUTOMOBILES LTD,0,0,4
MAHI ENTERPRISES,0,2,0
MAHINDRA DEFENCE SYSTEMS LTD,0,0,15
MAHINDRA ELECTRIC MOBILITY LIMITED,0,33,3
MAHINDRA & MAHINDRA LIMITED,2,6129,51725
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,0,13415
MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,17933
MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,0,0,1
MAHTAB BODY MAKER,0,61,0
MALAK TECHNO PVT LTD,0,5,0
MALKIT AGRO TECH PVT. LTD,0,0,5
MANIRAM ELECTRIC VEHICLE PVT LTD,0,20,0
MANISH EV INTERNATIONAL PRIVATE LIMITED,0,38,0
MANITA CITY MOTORS LLP,0,191,0
MANITOU EQUIPMENT INDIA PVT LTD,0,0,48
MANKU AGRO TECH PVT LTD,0,0,10
MANMOHAN KAUR,0,12,0
MARKUS,0,5,0
MARUTHISAN PVT LTD,10,0,0
MARUTI SUZUKI INDIA LTD,1,0,138926
MARUTI UDYOG LTD,0,0,21
MASERATI S.P.A,0,0,1
MATHARU ENGINEERING WORKS,0,0,1
MAULIRAJ INDUSTRIES LLP,0,0,1
"MAYUR ENTERPRISES,BARIPADA",0,0,6
MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),0,0,1
MERCEDES -BENZ AG,0,0,88
