Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,60,0
3S INDUSTRIES PRIVATE LIMITED,0,6,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,2
AADHYA ENTERPRISES,0,40,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,6,0
AAHANA COMMERCE PVT LTD,0,38,0
AARON INDUSTRIES,0,0,23
ACCRETION POWER AUTOS,0,36,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,726
A D AGRO WORKS,0,0,17
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,104
ADIDEV TECHNOA PVT LTD,0,39,0
ADISHAKTI TRACTORS,0,0,12
ADISHWAR AUTO RIDE INDIA PVT LTD,46,0,0
ADITYA AGRO INDUSTRIES,0,0,5
ADITYA SAI INDUSTRIES,0,10,0
ADRIS ELECTRIC PVT LTD,40,0,0
AFTEK MOTORS INDIA PVT LTD,23,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,8
AGRO INDUSTRIES,0,0,13
AHMED MOTORS,0,0,2
AJANTA KRUSHI YANTRA,0,0,23
AJAX ENGINEERING LTD,0,0,175
AJAY ENTERPRISES,0,0,2
AJAY MOTORS PRIVATE LIMITED,0,13,0
AJIT ENGINEERING WORKS,0,0,3
AKASH AGRO INDUSTRIES,0,0,1
A K GUPTA & CO.,0,28,0
ALLFINE INDUSTRIES PVT LTD,0,681,1
ALL TERRAIN CRANE,0,0,79
ALPHA SERVICES,0,0,2
ALTIER ELECTRIC VEHICLES PVT LTD,0,174,2
ALTIGREEN PROPULSION LABS PVT LTD,0,91,0
ALTIUS EV TECH PVT LTD,7,0,0
AMAN AGRO INDUSTRIES,0,0,4
AMAN ELECTRIC VEHICLES,0,1,0
AMAR AGRO SALES,0,0,1
AMARJEET HARVESTER INDUSTRY,0,0,4
AMBIKA INDUSTRIES,0,87,0
AMMANN APOLLO INDIA PVT LTD,0,0,11
AMO MOBILITY SOLUTIONS PVT LTD,312,0,0
AMPERE VEHICLES PRIVATE LIMITED,4370,0,0
"AMRIT ENGG WORKS,DKL",0,0,4
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0
ANJALI TRADERS,0,4,0
ANNAPURNA INDUSTRIES,0,0,6
ANVITA AUTO TECH WORKS PVT LTD,2,0,0
APARNA INDUSTRIES,0,11,0
A P I MOTORS PVT LTD,0,99,0
APM AUTO SALES,0,45,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,4
APSARA ENTERPRISE,0,29,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,1
ARCHIT ENTERPRISES,0,71,0
ARD EXIM,0,6,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,1
ARNA ELECTRIC AUTO PVT LTD,0,25,0
ARROW AUTOMOTIVE,0,218,0
ASHA IMPEX,0,4,0
ASHOK LEYLAND JOHN DEERE CONST EQUIP COMP PVT LTD,0,0,1
ASHOK LEYLAND LTD,0,0,14569
ASSAM FABRICATION WORKS,0,0,4
ATHER ENERGY LTD,9226,0,0
ATOMEX E-MOTORS INDIA PVT LTD,1,0,0
ATTOLENT AUTO GROUP PVT LTD,0,55,0
ATUL AUTO LTD,0,1798,40
ATUT SANGAM,0,156,0
AUDI AG,0,0,183
AUTOECO GREEN ENERGY PVT LTD,0,24,0
AUTOHAUS PRIVATE LIMITED,0,16,0
AUTOLITE (INDIA) LIMITED,0,3,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,3
A.V.AUTOMOTIVES PVT LTD,0,72,1
AVL ELECTRIC VEHICLES PVT LTD,0,186,0
AVON CYCLE LTD INDIA,0,7,1
AVON CYCLES LTD,0,69,0
AVTAR ENGINEERING WORKS,0,0,2
AWACHAT INDUSTRIES LTD,0,0,115
AYAAN ELECTRONIC PVT LTD,8,0,0
BABA E-VEHICLES,0,67,0
BABA PRODUCT,0,0,10
BAJAJ AUTO LTD,138288,27241,94
BAJAJ IMPLEMENTS PVT. LTD,0,40,0
BALAJEE ENGINEERING,0,0,1
BALAJI AGRO INDUSTRIES,0,0,2
BALAN ENGINEERING PVT LTD,0,2,0
BAL GOPAL WHEELS PVT LTD,0,1,0
BALI AUTO INDUSTRIES,0,37,0
"BASUDEB ENGINEERING, CUTTACK",0,0,3
BATTRE ELECTRIC MOBLITY PVT LTD,170,0,0
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,571,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,39,0
BENTLEY MOTORS LIMITED,0,0,9
BEST WAY AGENCIES PVT LTD,0,515,0
BESTWAY AGENCIES PVT LTD,0,12,11
BGAUSS AUTO PRIVATE LIMITED,716,0,0
BHADAURIA ENTERPRISES,0,1,0
BHAGWAN AGRO INDUSTRIES,0,0,5
BHAGYALAXMI TRAILER,0,0,1
BHAVE ELECTRIC VEHICLES PVT LTD,0,121,0
BHM INDUSTRIES,0,81,0
BHOYAR AGRO IND WARDHA,0,0,9
BIDISHA ENTERPRISES PVT LTD,0,0,1
BIG BULL TRADER PVT LTD,0,21,0
BIJNOR ENTERPRISES,0,19,0
BLIX CYCLES AND E-VEHICLES PVT LTD,10,0,0
BMW INDIA PVT LTD,482,0,931
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,2,0,0
BOUNCE ELECTRIC 1 PVT LTD,520,0,0
BRIGHT AUTOZONE PVT LTD,0,306,0
BRIGHT METAL WORKS,0,11,0
BSA MOTORS,1,0,4
BULL MACHINES PVT LTD,0,0,82
BYD INDIA PRIVATE LIMITED,0,0,140
CAPITAL AUTO INDUSTRIES,0,152,0
CAPTAIN TRACTORS PVT. LTD.,0,0,236
CASE EQUIPMENT PRIVATE LTD,0,0,1
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,128
CATERPILLAR INDIA PRIVATE LIMITED,0,0,174
CEEON INDIA,0,44,0
CHAMPION POLY PLAST,0,1146,1
CHANDANA CORPORATION,42,0,0
CHANNY AGRO INDUSTRIES,0,0,2
CHAUHAN AUTO INDUSTRIES,0,68,0
