Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,75,0
3S INDUSTRIES PRIVATE LIMITED,0,8,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,3
AADHYA ENTERPRISES,0,59,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,7,0
AAHANA COMMERCE PVT LTD,0,78,1
AARGEE ELECTRIC,0,5,0
ABZO MOTORS PVT LTD,1,0,0
ACCRETION POWER AUTOS,0,41,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,861
A D AGRO WORKS,0,0,9
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,39
ADIDEV TECHNOA PVT LTD,0,42,0
ADISHWAR AUTO RIDE INDIA PVT LTD,27,0,0
ADITYA AGRO INDUSTRIES,0,0,9
ADITYA SAI INDUSTRIES,0,22,0
ADM TECHNOLOGIES PVT. LTD.,0,10,0
AFTEK MOTORS INDIA PVT LTD,14,0,0
"AFZAL ENGG WORKS,JUNAGARH",0,0,1
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,2
AGRO INDUSTRIES,0,0,23
AJANTA KRUSHI YANTRA,0,0,4
AJAX ENGINEERING LTD,0,0,391
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,3
AJAY ENTERPRISES,0,0,5
AJAY MOTORS PRIVATE LIMITED,0,22,0
AJIT ENGINEERING WORKS,0,0,1
AKAL AGRO INDUSTRY,0,0,1
AKASH TRAILOR,0,0,5
A K GUPTA & CO.,0,46,0
A K S ENG AGRO INDUSTRIES,0,0,3
ALLFINE INDUSTRIES PVT LTD,0,838,1
ALL TERRAIN CRANE,0,0,85
ALPHA SERVICES,0,0,5
ALTIER ELECTRIC VEHICLES PVT LTD,0,154,0
ALTIGREEN PROPULSION LABS PVT LTD,0,150,0
AMAN AGRO INDUSTRIES,0,0,5
AMAN ELECTRIC VEHICLES,0,4,0
AMAR AGRO SALES,0,0,1
AMARJEET HARVESTER INDUSTRY,0,0,1
AMBIKA ENTERPRISES,0,15,0
AMBIKA INDUSTRIES,0,150,0
AMMANN APOLLO INDIA PVT LTD,0,0,20
AMO MOBILITY SOLUTIONS PVT LTD,280,0,0
AMPERE VEHICLES PRIVATE LIMITED,9636,0,0
"AMRIT ENGG WORKS,DKL",0,0,5
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0
ANDHRA PRADESH SCOOTERS LTD   ,0,0,1
ANJALI AUTO COMPONENTS,0,1,0
ANJALI TRADERS,0,4,0
ANKUSH AUTO DEALS,0,1,0
ANNAPURNA INDUSTRIES,0,0,2
ANVITA AUTO TECH WORKS PVT LTD,6,0,0
APARNA INDUSTRIES,0,15,0
A P I MOTORS PVT LTD,0,106,0
APM AUTO SALES,0,51,0
