Maker,2W,3W,4W
CATERPILLAR INDIA PRIVATE LIMITED,0,0,180
CEEON INDIA,0,63,0
CHAMPION POLY PLAST,0,987,0
CHANDANA CORPORATION,46,0,0
CHARUVIKRAM AUTOMOBILE PVT LTD,0,2,0
CHAUHAN AUTO INDUSTRIES,0,19,0
CHEHAK BATTERIES,0,22,0
CHETAK TECHNOLOGY LIMITED,373,0,0
CHEVROLET SALES INDIA PVT LTD,0,0,1
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),3,0,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,66,0
CLAAS INDIA P LTD,0,0,6
CLASSIC LEGENDS PVT LTD,2311,0,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,2278
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,9
CONTINENTAL ENGINES PVT LTD,0,348,0
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,4
CYRUS AUTO INDUSTRIES PVT LTD,0,4,0
DAIMLER AG,0,0,1
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1902
DAKSH INDUSTRIES,0,324,0
DALIP SINGH & SONS,0,0,2
DAO EVTECH PRIVATE LIMITED,21,0,0
DASHMESH TRADERS,0,1,0
DASMESH AGRICULTURE WORKS,0,0,2
DASMESH MECHANICAL WORKS PVT.LTD,0,0,20
DAVE EXIM PVT LTD,0,39,0
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",0,0,1
DE EUSI MOTORS PVT LTD.,0,132,0
DELTA AUTOCORP LTD,0,178,0
DEMAG DEMAG HC 340,0,0,1
DEV AGRO INDUSTRIES,0,0,1
DEVANGI ENG..,0,0,1
DEV ENGINEERING WORKS,0,0,8
DEWAN AGRICULTURE WORKS,0,0,1
DHANALAKSHMI ENGINEERING WORKS,0,0,4
DHAR INTERNATIONAL,0,3,0
DHIMAN AGRICULTURE,0,0,1
DHIMAN AGRICULTURE WORKS,0,0,1
"DIAMOND ENGG,CTC",0,0,4
DIAMOND E VEHICLES,0,33,0
DILLI ELECTRIC AUTO PVT LTD,0,1729,1
DIVANSU AUTOMOBILES LTD,0,25,0
DIVYA ENTERPRISES,0,64,0
D K DIESELS PVT LTD,0,0,1
DOOSAN BOBCAT INDIA PVT LTD,0,0,52
D S INDUSTRIES,0,8,0
DUCATI INDIA PVT LTD,25,0,0
DUKE AUTO INDIA,0,73,0
DULEVO INDIA PVT LTD,0,0,4
"DURGA AGRO ENGG,BALASORE",0,0,1
DURGA ENGINEERING WORKS,0,0,11
"DWARI ENGG WORKS,SAMBALPUR",0,0,2
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,1
DYS IMPEX PRIVATE LIMITED,0,40,0
E-ASHWA AUTOMOTIVE PVT LTD,0,33,0
EBUZZ MOBILITY LLP,0,1,0
ECO DYNAAMIC EQUIPMENTS,0,2,0
ECO FUEL SYSTEMS (I) PVT LTD,42,0,0
ECO SMART VEHICLES PVT LTD,0,76,0
EDMRC MANNSCHAFT LLP,0,5,0
EEVEE ENGINEERING PVT LTD,0,1,0
EFEV CHARGING SOLUTION PVT LTD,0,19,0
E-GURU AUTO ENERGY,0,2,0
EICHER MOTORS LTD,0,0,2
EICHER TRACTORS,0,0,3220
ELECTRA INTERNATIONAL,0,2,0
ELECTRECA VEHICLES,8,0,0
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),4,0,0
ELITE AUTO ENGINEERS PVT LTD,0,92,0
ELSA CONCRETING MACHINERY INDIA PVT LTD,0,0,2
ELTHOR ENERGY PRIVATE LIMITED,18,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,39,0
ENERGY ELECTRIC VEHICLES,0,677,0
ENGINIA VEHICLES PVT LTD,0,3,0
ENGTIAN ELECTRIC BIKE PVT LTD,30,0,0
ENTICE IMPEX PVT LTD,0,31,0
E ROYCE MOTORS INDIA PVT LTD,0,92,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,0,0,4
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,6259
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,402
ESCORTS R&D CENTRE,0,0,11
ESCORTS TRACTORS LTD,0,0,1
ESSAR ENGINEERING,0,0,2
ETRIO AUTOMOBILES PVT LTD,0,7,1
EULER MOTORS PVT LTD,0,222,0
EVAGE AUTOMOTIVE PVT LTD,0,0,6
EVBHARAT RANGE PRIVATE LIMITED,0,2,0
EVERVE MOTORS PVT LTD,0,1,0
EVEX AUTO INDIA PVT LTD,0,14,0
EVTRIC MOTORS PVT LTD,50,0,0
EXERVAL PVT LTD,8,0,0
EXIDE INDUSTRIES LTD,0,169,0
EXTRA FAST SOLUTIONS,0,12,0
EXTREME MOTORS,0,27,0
FARMTECH AGRO INDUSTRIES,0,0,1
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,694
FEDE INDUSTRIES PVT LTD,0,63,0
FERRARI INDIA PRIVATE LIMITED,0,0,1
FERRARI SPA,0,0,3
FERRARI SPA (IMPORTER:SELECT CARS P LTD),0,0,1
FIADO INDUSTRIES PVT LTD,4,0,0
FIELDTRACK EARTHMOVERS PVT LTD,0,0,11
FINE EQUIPMENTS INDIA PVT LTD,0,0,2
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,41,0
FITWEL MOBILITY PVT LTD,0,2,0
FIVE ELEMENTS,0,3,0
FORCE MOTORS LIMITED,0,0,1947
FORD INDIA PVT LTD,0,0,7
FRIENDS AGRO INDUSTRIES,0,0,1
GAHIR AGRICULTURAL INDUSTRIES,0,0,2
GANESH AGRO INDUSTRIES,0,0,16
GAUTAM AGRO INDUSTRIES,0,0,1
GAYATRI ELECTRIC VEHICLES PVT LTD,0,232,0
G & G AUTOMOTIVE,0,123,0
GIAN AGRO INDUSTRIES,0,0,1
GILL AGRICULTURE WORKS,0,0,3
GILLPREETAGRO INDUSTRIES,0,0,3
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,65,0
G.K. RICKSHAW PVT LTD,0,330,0
