Maker,2W,3W,4W
BYD INDIA PRIVATE LIMITED,0,0,145
CAPITAL AUTO INDUSTRIES,0,187,0
CAPTAIN TRACTORS PVT. LTD.,0,0,164
CART INDIA,0,5,0
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,144
CATERPILLAR INDIA PRIVATE LIMITED,0,0,165
CEEON INDIA,0,101,0
CHAMPION POLY PLAST,0,1259,0
CHANDANA CORPORATION,17,0,0
CHAUHAN AUTO INDUSTRIES,0,69,0
CHEHAK BATTERIES,0,24,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),6,0,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,55,0
CIVIMEC ENGINEERING PVT LTD,0,0,1
CLAAS INDIA P LTD,0,0,5
CLASSIC LEGENDS PVT LTD,2776,0,0
C M OVERSEAS,0,12,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,2492
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,6
CONTINENTAL ENGINES PVT LTD,0,454,1
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,6
CYRUS AUTO INDUSTRIES PVT LTD,0,1,0
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1955
DAKSH INDUSTRIES,0,649,0
DAO EVTECH PRIVATE LIMITED,14,0,0
DASHMESH TRADERS,0,20,0
DASMESH MECHANICAL WORKS PVT.LTD,0,0,24
DAVE EXIM PVT LTD,0,20,0
DEEP DRAWN TECHNOLOGIES,0,3,0
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",0,0,3
DE EUSI MOTORS PVT LTD.,0,150,0
DELTA AUTOCORP LTD,0,237,0
DELTEK ENTERPRISES PVT LTD,0,1,0
DEMAG DEMAG HC 340,0,0,2
DEV AGRO INDUSTRIES,0,0,1
DEVANGI ENG..,0,0,1
DEV ENGINEERING WORKS,0,0,1
DHANALAKSHMI ENGINEERING WORKS,0,0,2
DHAR IN PVT LTD,0,1,0
DHAR INTERNATIONAL,0,4,0
DHIMAN AGRICULTURE,0,0,1
DIAMOND E VEHICLES,0,67,0
DILLI ELECTRIC AUTO PVT LTD,0,2186,1
DIVANSU AUTOMOBILES LTD,0,6,0
DIVYA ENTERPRISES,0,74,0
DOOSAN BOBCAT INDIA PVT LTD,0,0,42
DUCATI INDIA PVT LTD,30,0,0
DUKE AUTO INDIA,0,73,0
DULEVO INDIA PVT LTD,0,0,1
"DURGA AGRO ENGG,BALASORE",0,0,4
"DURGA&DURGA ENGG WORKS,BHMPUR",0,0,3
"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",0,0,1
DURGA ENGINEERING WORKS,0,0,14
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,12
DYS IMPEX PRIVATE LIMITED,0,124,0
E-ASHWA AUTOMOTIVE PVT LTD,0,23,0
EBUZZ MOBILITY LLP,0,1,0
ECO DYNAAMIC EQUIPMENTS,0,8,0
ECO FUEL SYSTEMS (I) PVT LTD,33,0,0
ECO SMART VEHICLES PVT LTD,0,144,0
EDMRC MANNSCHAFT LLP,0,9,0
EFEV CHARGING SOLUTION PVT LTD,0,70,0
E-GURU AUTO ENERGY,0,17,0
EICHER MOTORS LTD,0,0,4
EICHER TRACTORS,0,0,4267
ELECTRECA VEHICLES,1,0,0
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),2,0,0
ELITE AUTO ENGINEERS PVT LTD,0,116,0
ELTHOR ENERGY PRIVATE LIMITED,14,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,30,0
ENERGY ELECTRIC VEHICLES,0,1120,0
ENGINIA VEHICLES PVT LTD,0,40,0
ENGTIAN ELECTRIC BIKE PVT LTD,18,0,0
ENIGMA AUTOMOBILES PVT LTD,1,0,0
ENTICE IMPEX PVT LTD,0,74,0
EPOWER VEHICLES PVT LTD,0,3,0
ERISHA E MOBILITY PVT LTD,0,5,1
E ROYCE MOTORS INDIA PVT LTD,1,3,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,0,0,1
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,6268
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,504
ESCORTS R&D CENTRE,1,0,0
E-SPRINTO GREEN ENERGY PVT LTD,14,0,0
ETRIO AUTOMOBILES PVT LTD,0,1,0
EULER MOTORS PVT LTD,0,276,0
EVAGE AUTOMOTIVE PVT LTD,0,0,11
EVBHARAT RANGE PRIVATE LIMITED,0,1,0
EVEX AUTO INDIA PVT LTD,0,4,0
EVTRIC MOTORS PVT LTD,29,0,0
EXERVAL PVT LTD,2,0,0
EXIDE INDUSTRIES LTD,0,232,0
EXTRA FAST SOLUTIONS,0,90,0
EXTREME MOTORS,0,20,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,481
FEDE INDUSTRIES PVT LTD,0,118,0
FERRARI SPA,0,0,1
FIADO INDUSTRIES PVT LTD,3,0,0
FIELDTRACK EARTHMOVERS PVT LTD,0,0,8
FINE EQUIPMENTS INDIA PVT LTD,0,0,1
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,41,0
FITWEL MOBILITY PVT LTD,0,3,0
FIVE ELEMENTS,0,11,0
FORCE MOTORS LIMITED,0,0,2214
FORD INDIA PVT LTD,0,0,4
FSTMOTO (IMPORTER: AUTOICARE INNOVATION),12,0,0
GAGAN AUTOMOTIVES,0,50,0
GANESH AGRO INDUSTRIES,0,0,11
GAYATRI ELECTRIC VEHICLES PVT LTD,0,305,0
G & G AUTOMOTIVE,0,125,0
GIAN AGRO INDUSTRIES,0,0,2
GILL AGRICULTURE WORKS,0,0,4
GILLPREETAGRO INDUSTRIES,0,0,2
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,53,0
G.K. RICKSHAW PVT LTD,0,626,0
GODAWARI ELECTRIC MOTORS PVT LTD,34,32,0
GODAWARI TECHNO SOLUTIONS PVT LTD,0,3,0
GODREJ AND BOYCE MFG CO LTD,0,0,1
GODREJ & BOYCE MFG. CO. LTD,0,0,15
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,17,0
