Maker,2W,3W,4W
BRIGHT AUTOZONE PVT LTD,0,459,0
BSA MOTORS,0,0,3
BSMS AGRICULTURE WORKSHOP,0,0,6
BULL MACHINES PVT LTD,0,0,56
BYD INDIA PRIVATE LIMITED,0,0,179
CAPITAL AUTO INDUSTRIES,0,111,0
CAPTAIN TRACTORS PVT. LTD.,0,0,285
CART INDIA,0,23,0
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,163
CATERPILLAR INDIA PRIVATE LIMITED,0,0,164
CEEON INDIA,0,72,0
CHAMPION POLY PLAST,0,1302,0
CHANDANA CORPORATION,30,0,0
CHANNY AGRO INDUSTRIES,0,0,2
CHAUHAN AUTO INDUSTRIES,0,36,0
CHEHAK BATTERIES,0,32,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),15,0,0
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,0,0,1
CITADEL ENTERPRISES(OPC) PVT LTD,0,2,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,72,0
CLAAS INDIA P LTD,0,0,8
CLASSIC LEGENDS PVT LTD,2526,0,0
C M OVERSEAS,0,1,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,3367
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,10
CONTINENTAL ENGINES PVT LTD,0,330,0
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,11
CYRUS AUTO INDUSTRIES PVT LTD,0,13,0
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1550
DAKSH INDUSTRIES,0,598,0
DAO EVTECH PRIVATE LIMITED,15,0,0
DASHMESH TRADERS,0,9,0
DASMESH AGRICULTURE WORKS,0,0,1
DASMESH MECHANICAL WORKS PVT.LTD,0,0,12
DAVE EXIM PVT LTD,0,24,0
DEEP DRAWN TECHNOLOGIES,0,5,0
DE EUSI MOTORS PVT LTD.,0,122,0
DELTA AUTOCORP LTD,0,232,0
DELTEK ENTERPRISES PVT LTD,0,1,0
DEVAM ELECTRIC VEHICLES PVT LTD,0,6,0
DEVANGI ENG..,0,0,15
DHANALAKSHMI ENGINEERING WORKS,0,0,1
DHANLAXMI FABRICATORS,0,0,1
DHAR IN PVT LTD,0,9,0
DHAR INTERNATIONAL,0,1,0
DHIMAN AGRICULTURE,0,0,1
"DIAMOND ENGG,CTC",0,0,6
