Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,38,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
AADHYA ENTERPRISES,0,75,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,3,0
AAHANA COMMERCE PVT LTD,0,93,0
ABZO MOTORS PVT LTD,2,0,0
ACCRETION POWER AUTOS,0,43,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,663
A D AGRO WORKS,0,0,1
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,105
ADIDEV TECHNOA PVT LTD,0,50,0
ADISHAKTI TRACTORS,0,0,1
ADISHWAR AUTO RIDE INDIA PVT LTD,28,0,0
ADITYA AGRO INDUSTRIES,0,0,1
ADITYA SAI INDUSTRIES,0,8,0
ADM TECHNOLOGIES PVT. LTD.,0,9,0
ADRIS ELECTRIC PVT LTD,1,0,0
AFTEK MOTORS INDIA PVT LTD,6,0,0
AGRO INDUSTRIES,0,0,11
AHITESHAM AGRO ENGINEERING,0,0,2
AHMED MOTORS,0,0,5
AJAX ENGINEERING LTD,0,0,282
AJAY ENTERPRISES,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,22,0
AKAL AGRO INDUSTRY,0,0,1
AKG INTERNATIONAL,0,51,0
A K GUPTA & CO.,0,37,0
A K S ENG AGRO INDUSTRIES,0,0,2
ALBEDO VISION PVT LTD,0,3,0
ALLENTTI MOTORS PVT LTD,0,7,0
ALLFINE INDUSTRIES PVT LTD,0,959,0
ALL TERRAIN CRANE,0,0,105
ALTIER ELECTRIC VEHICLES PVT LTD,0,273,0
ALTIGREEN PROPULSION LABS PVT LTD,0,205,0
ALTIUS TECHNOLOGIES,0,3,0
AMAN AGRO INDUSTRIES,0,0,5
AMAN AUTOMOBILES,0,3,0
AMAN ELECTRIC VEHICLES,0,43,0
AMARJEET HARVESTER INDUSTRY,0,0,2
AMBIKA ENTERPRISES,0,11,0
AMBIKA INDUSTRIES,0,158,0
AMMANN APOLLO INDIA PVT LTD,0,0,21
AMO MOBILITY SOLUTIONS PVT LTD,10,0,0
AMPERE VEHICLES PRIVATE LIMITED,281,0,0
AMRIT AGRO INDUSTRIES,0,0,1
"AMRIT ENGG WORKS,DKL",0,0,6
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,6,0,0
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2,0,0
ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),1,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),8,0,0
ANJALI AUTO COMPONENTS,0,8,0
ANJALI TRADERS,0,9,0
ANNAPURNA INDUSTRIES,0,0,8
APARNA INDUSTRIES,0,6,0
A P I MOTORS PVT LTD,0,60,0
APM AUTO SALES,0,60,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,4
APSARA ENTERPRISE,0,60,0
ARCHIT ENTERPRISES,0,86,0
ARD EXIM,0,2,0
ARNA ELECTRIC AUTO PVT LTD,0,65,0
ARROW AUTOMOTIVE,0,269,0
ASHA IMPEX,0,8,0
ASHMA-MOTORS PVT LTD,0,61,0
ASHOK LEYLAND LTD,0,0,13700
ASSAM FABRICATION WORKS,0,0,4
ATHER ENERGY LTD,9343,0,0
ATTOLENT AUTO GROUP PVT LTD,0,50,0
ATUL AUTO LTD,0,2108,0
ATUL GREENTECH PRIVATE LIMITED,0,30,0
ATUMOBILE PVT LTD,7,0,0
ATUT SANGAM,0,313,0
AUDI AG,0,0,48
AUM ENGINEERING AND WORKS,0,0,2
AUTOECO GREEN ENERGY PVT LTD,0,43,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,11
A.V.AUTOMOTIVES PVT LTD,0,133,0
AVL ELECTRIC VEHICLES PVT LTD,0,335,0
AVON CYCLES LTD,0,54,0
AWACHAT INDUSTRIES LTD,0,0,71
AYAAN ELECTRONIC PVT LTD,6,0,0
BABA E-VEHICLES,0,68,0
BABA HARI DAS FABRICATION,0,0,2
BABAJI ENGINEERING TRAILOR WORKS,0,0,1
BABA PRODUCT,0,0,13
BAGHWAN RIKSHAW UDYOG,0,1,0
BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),3,0,0
BAJAJ AUTO LTD,275045,39515,75
BAJAJ IMPLEMENTS PVT. LTD,0,68,0
BALAJI AGRO INDUSTRIES,0,0,7
BALAJI TRADING COMPANY,0,4,0
BALAN ENGINEERING PVT LTD,0,2,0
BAL GOPAL WHEELS PVT LTD,0,19,0
BALI AUTO INDUSTRIES,0,28,0
BANKU BODY BUILDER,0,0,2
BANSAL AGRICULTURE IMPLEMENTS,0,0,1
"BASUDEB ENGINEERING, CUTTACK",0,0,1
BATTRE ELECTRIC MOBLITY PVT LTD,668,0,0
BAXY LTD,0,117,0
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,101,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,41,0
