Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,89,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
A-1 SUREJA INDUSTRIES,1,0,0
AADHYA ENTERPRISES,0,38,0
AAHANA COMMERCE PVT LTD,0,242,0
AAKK AUTO PVT LTD,0,2,0
A.B. AGRO ENGINEERING WORKS,0,0,1
ABZO MOTORS PVT LTD,18,0,0
ACCRETION POWER AUTOS,0,34,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,878
A D AGRO WORKS,0,0,2
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,90
ADIDEV TECHNOA PVT LTD,0,116,0
ADISHWAR AUTO RIDE INDIA PVT LTD,14,0,0
ADITYA AGRO INDUSTRIES,0,0,2
ADITYA SAI INDUSTRIES,0,26,0
ADM TECHNOLOGIES PVT. LTD.,0,29,0
AFTEK MOTORS INDIA PVT LTD,7,0,0
"AFZAL ENGG WORKS,JUNAGARH",0,0,1
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,7
AGRO INDUSTRIES,0,0,9
AGRO TRAILERS AP312870751,0,0,1
AJANTA KRUSHI YANTRA,0,0,2
AJAX ENGINEERING LTD,0,0,438
AJAY MOTORS PRIVATE LIMITED,0,24,0
A.J ENTERPRISES,0,9,0
AKAL AGRO INDUSTRY,0,0,3
AKASH TRAILOR,0,0,4
AKG INTERNATIONAL,0,166,0
A K GUPTA & CO.,0,60,0
A K S ENG AGRO INDUSTRIES,0,0,1
ALBEDO VISION PVT LTD,0,2,0
ALLENTTI MOTORS PVT LTD,0,21,0
ALLFINE INDUSTRIES PVT LTD,0,852,0
ALL TERRAIN CRANE,0,0,93
ALTIER ELECTRIC VEHICLES PVT LTD,0,222,0
ALTIGREEN PROPULSION LABS PVT LTD,0,13,0
AMAN AGRO INDUSTRIES,0,0,2
AMAN AUTOMOBILES,0,18,0
AMAN ELECTRIC VEHICLES,0,45,0
AMARJEET HARVESTER INDUSTRY,0,0,3
AMBIKA ENTERPRISES,0,7,0
AMBIKA INDUSTRIES,0,146,0
AMMANN APOLLO INDIA PVT LTD,0,0,20
AMO MOBILITY SOLUTIONS PVT LTD,12,0,0
AMPERE VEHICLES PRIVATE LIMITED,103,0,0
"AMRIT ENGG WORKS,DKL",0,0,5
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,5,0,0
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),3,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2,0,0
ANJALI AUTO COMPONENTS,0,2,0
ANJALI TRADERS,0,5,0
ANNAPURNA INDUSTRIES,0,0,3
ANOOP CYLINDERS PVT LTD,0,1,0
ANVITA AUTO TECH WORKS PVT LTD,1,0,0
APARNA INDUSTRIES,0,3,0
A P I MOTORS PVT LTD,0,48,0
APM AUTO SALES,0,51,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,9
APSARA ENTERPRISE,0,90,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,3
A R AGRO TECH,0,0,1
ARCHIT ENTERPRISES,0,104,0
ARD EXIM,0,6,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,1
A.R. MOTOR,0,36,0
ARNA ELECTRIC AUTO PVT LTD,0,1,0
ARROW AUTOMOTIVE,0,322,0
ASAV AUTOMOTIVE PVT LTD,0,1,0
ASHA IMPEX,0,28,0
ASHMA-MOTORS PVT LTD,0,127,0
"ASHOK FABRIC & ENGG,RAIRAKHOL",0,0,1
ASHOK LEYLAND LTD,0,0,13764
ASSAM FABRICATION WORKS,0,0,3
ASTON MARTIN LAGONDA LTD,0,0,1
ATHER ENERGY LTD,6155,0,0
ATTOLENT AUTO GROUP PVT LTD,0,59,0
ATUL AUTO LTD,0,2450,0
ATUL GREENTECH PRIVATE LIMITED,0,24,0
ATUMOBILE PVT LTD,8,0,0
ATUT SANGAM,0,176,0
AUDI AG,0,0,43
AUTOECO GREEN ENERGY PVT LTD,0,85,0
AUTOLITE (INDIA) LIMITED,0,1,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,7
A.V.AUTOMOTIVES PVT LTD,0,149,0
AVL ELECTRIC VEHICLES PVT LTD,0,302,0
AVON CYCLES LTD,0,68,0
AVTAR ENGINEERING WORKS,0,0,5
AWACHAT INDUSTRIES LTD,0,0,96
AYAAN ELECTRONIC PVT LTD,3,0,0
B24 ROKET EV,0,108,0
BABA E-VEHICLES,0,117,0
BABA PRODUCT,0,0,7
BAGHWAN RIKSHAW UDYOG,0,2,0
BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2,0,0
BAJAJ AUTO LTD,175527,35529,38
