Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,70,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,3
A-1 SUREJA INDUSTRIES,1,0,0
AADHYA ENTERPRISES,0,28,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,2,0
AAHANA COMMERCE PVT LTD,0,142,0
ABZO MOTORS PVT LTD,6,0,0
ACCRETION POWER AUTOS,0,55,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,1116
A D AGRO WORKS,0,0,11
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,100
ADIDEV TECHNOA PVT LTD,0,152,0
ADISHWAR AUTO RIDE INDIA PVT LTD,19,0,0
ADITYA AGRO INDUSTRIES,0,0,13
ADITYA SAI INDUSTRIES,0,13,0
ADM TECHNOLOGIES PVT. LTD.,0,18,0
ADRIS ELECTRIC PVT LTD,3,0,0
AFTEK MOTORS INDIA PVT LTD,12,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,13
AGRO INDUSTRIES,0,0,12
AHMED MOTORS,0,0,4
AJAX ENGINEERING LTD,0,0,449
AJAY ENTERPRISES,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,5,0
A.J ENTERPRISES,0,3,0
AKAL AGRO INDUSTRY,0,0,5
AKG INTERNATIONAL,0,109,0
A K GUPTA & CO.,0,67,0
A K S ENG AGRO INDUSTRIES,0,0,1
ALLENTTI MOTORS PVT LTD,0,15,0
ALLFINE INDUSTRIES PVT LTD,0,873,0
ALL TERRAIN CRANE,0,0,87
ALPHA SERVICES,0,0,2
ALTIER ELECTRIC VEHICLES PVT LTD,0,286,0
ALTIGREEN PROPULSION LABS PVT LTD,0,460,0
ALTIUS EV TECH PVT LTD,3,0,0
ALTIUS TECHNOLOGIES,0,1,0
AMAN AGRO INDUSTRIES,0,0,1
AMAN AUTOMOBILES,0,2,0
AMAN ELECTRIC VEHICLES,0,29,0
AMARJEET HARVESTER INDUSTRY,0,0,4
AMBIKA ENTERPRISES,0,6,0
AMBIKA INDUSTRIES,0,133,0
AMMANN APOLLO INDIA PVT LTD,0,0,31
AMO MOBILITY SOLUTIONS PVT LTD,16,0,0
AMPERE VEHICLES PRIVATE LIMITED,139,0,0
AMRIT AGRO INDUSTRIES,0,0,1
"AMRIT ENGG WORKS,DKL",0,0,5
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),5,0,0
ANJALI AUTO COMPONENTS,0,3,0
ANJALI TRADERS,0,7,0
ANNAPURNA INDUSTRIES,0,0,8
