Maker,2W,3W,4W
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,36,0,0
BOUNCE ELECTRIC 1 PVT LTD,286,0,0
BRIGHT AUTOZONE PVT LTD,0,338,0
BSA MOTORS,0,0,3
BULL MACHINES PVT LTD,0,0,93
BYD INDIA PRIVATE LIMITED,0,0,163
CAPCO INDUSTRIES PVT LTD,0,7,1
CAPITAL AUTO INDUSTRIES,0,227,0
CAPTAIN TRACTORS PVT. LTD.,0,0,921
CARREE YUNUS VEHICLE PVT LTD,0,7,0
CART INDIA,0,116,0
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,180
CATERPILLAR INDIA PRIVATE LIMITED,0,0,160
CEEON INDIA,0,80,0
CHAMPION POLY PLAST,0,993,0
CHANDANA CORPORATION,20,0,0
CHANNY AGRO INDUSTRIES,0,0,2
CHAUHAN AUTO INDUSTRIES,0,61,0
CHEHAK BATTERIES,0,32,0
CHETAK TECHNOLOGY LIMITED,1,0,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),28,0,0
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),6,0,0
CITADEL ENTERPRISES(OPC) PVT LTD,0,6,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,57,0
CLAAS INDIA P LTD,0,0,3
CLASSIC LEGENDS PVT LTD,2888,0,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,3517
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,14
CONTINENTAL ENGINES PVT LTD,0,189,0
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,18
CYRUS AUTO INDUSTRIES PVT LTD,0,3,0
DABASIYA LOADERS,0,0,1
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,2160
DAKSH INDUSTRIES,0,593,0
DAO EVTECH PRIVATE LIMITED,15,0,0
DASHMESH TRADERS,0,17,0
DASMESH AGRICULTURE WORKS,0,0,3
DASMESH MECHANICAL WORKS PVT.LTD,0,0,18
DAVE EXIM PVT LTD,0,12,0
DEEP DRAWN TECHNOLOGIES,0,3,0
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",0,0,1
DE EUSI MOTORS PVT LTD.,0,112,0
DELTA AUTOCORP LTD,0,229,0
DELTEK ENTERPRISES PVT LTD,0,1,0
DEV AGRO INDUSTRIES,0,0,1
DEVAM ELECTRIC VEHICLES PVT LTD,0,19,0
DEVANGI ENG..,0,0,36
DEV ENGINEERING WORKS,0,0,2
DEWAN AGRICULTURE WORKS,0,0,1
DHANLAXMI FABRICATORS,0,0,1
