Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,153,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,2
A-1 SUREJA INDUSTRIES,2,0,0
AADHYA ENTERPRISES,0,45,0
AAHANA COMMERCE PVT LTD,0,313,0
AAKK AUTO PVT LTD,0,16,0
AARGEE ELECTRIC,0,1,0
AARON INDUSTRIES,0,12,0
ABZO MOTORS PVT LTD,7,0,0
ACCPL INFRA FABTECH PVT LTD,0,0,1
ACCRETION POWER AUTOS,0,48,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,813
A D AGRO WORKS,0,0,9
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,83
ADIDEV TECHNOA PVT LTD,0,125,0
ADISHWAR AUTO RIDE INDIA PVT LTD,23,0,0
ADITYA AGRO INDUSTRIES,0,0,10
ADITYA SAI INDUSTRIES,0,12,0
ADM TECHNOLOGIES PVT. LTD.,0,23,0
AEROEAGLE AUTOMOBILES PVT LTD,0,0,3
AFKON AUTOMOTIVES PVT LTD,0,25,0
"AFZAL ENGG WORKS,JUNAGARH",0,0,1
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,14
AGRO INDUSTRIES,0,0,13
AJANTA KRUSHI YANTRA,0,0,13
AJAX ENGINEERING LTD,0,0,371
AJAX FIORI ENGINEERING PVT LTD,0,0,1
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,0,0,1
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,2
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,26,0
A.J ENTERPRISES,0,24,0
AKAL AGRO INDUSTRY,0,0,5
AKASH TRAILOR,0,0,6
AKG INTERNATIONAL,0,148,0
A K GUPTA & CO.,0,63,0
A K S ENG AGRO INDUSTRIES,0,0,1
ALIED E MOBILITY PVT LTD,0,12,0
ALLENTTI MOTORS PVT LTD,0,26,0
ALLFINE INDUSTRIES PVT LTD,0,711,0
ALL TERRAIN CRANE,0,0,74
ALTIER ELECTRIC VEHICLES PVT LTD,0,242,0
ALTIGREEN PROPULSION LABS PVT LTD,0,49,0
ALTIUS EV TECH PVT LTD,1,0,0
AMAN AGRO INDUSTRIES,0,0,4
AMAN ELECTRIC VEHICLES,0,31,0
AMAN ENTERPRISES BHPATNA,0,0,2
AMAR ENGG. WORKS,0,0,1
AMARJEET HARVESTER INDUSTRY,0,0,1
AMBIKA ENTERPRISES,0,11,0
AMBIKA INDUSTRIES,0,164,0
AMIR KHAN SAIFI STEEL WORKS,0,2,0
AMMANN APOLLO INDIA PVT LTD,0,0,28
AMO MOBILITY SOLUTIONS PVT LTD,5,0,0
AMPERE VEHICLES PRIVATE LIMITED,25,0,0
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,4
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0
ANJALI AUTO COMPONENTS,0,5,0
ANJALI TRADERS,0,4,0
ANNAPURNA INDUSTRIES,0,0,9
APARNA INDUSTRIES,0,1,0
A P I MOTORS PVT LTD,0,54,0
APM AUTO SALES,0,42,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,5
APSARA ENTERPRISE,0,198,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,2
ARCHIT ENTERPRISES,0,97,0
ARD EXIM,0,2,0
A.R. MOTOR,0,57,0
ARNA ELECTRIC AUTO PVT LTD,0,2,0
ARROW AUTOMOTIVE,0,294,0
ARYAN INDUSTRIES,0,1,0
ASAV AUTOMOTIVE PVT LTD,0,3,0
ASHA IMPEX,0,24,0
ASHLESHA POWER CONTROLS PVT LTD,0,1,0
ASHMA-MOTORS PVT LTD,0,119,0
ASHNNI MOTORS PVT LTD,4,0,0
ASHOK LEYLAND LTD,0,0,15985
ASSAM FABRICATION WORKS,0,0,10
ATHER ENERGY LTD,16248,0,0
ATTOLENT AUTO GROUP PVT LTD,0,43,0
ATUL AUTO LTD,0,3212,0
ATUL GREENTECH PRIVATE LIMITED,0,85,0
ATUMOBILE PVT LTD,2,0,0
ATUT SANGAM,0,199,0
AUDI AG,0,0,25
AUTOECO GREEN ENERGY PVT LTD,0,60,0
AUTOEXIM HOUSE LLP,0,0,12
AUTOMOBILI LAMBORGHINI S.P.A,0,0,11
A.V.AUTOMOTIVES PVT LTD,0,69,0
AVL ELECTRIC VEHICLES PVT LTD,0,308,0
AVON CYCLES LTD,0,43,0
AVTAR ENGINEERING WORKS,0,0,1
AWACHAT INDUSTRIES LTD,0,0,241
B24 ROKET EV,0,80,0
BABA E-VEHICLES,0,56,0
BABAJI ENGINEERING TRAILOR WORKS,0,0,1
BABA PRODUCT,0,0,1
BADSHAH ENTERPRISES,0,8,0
BAGHWAN RIKSHAW UDYOG,0,3,0
BAJAJ AUTO LTD,231043,47985,29
BAJAJ IMPLEMENTS PVT. LTD,0,61,0
BALAJI AGRO INDUSTRIES,0,0,9
BALAJI ENGINEERING,0,0,2
BALAJI TRADING COMPANY,0,24,0
BAL GOPAL WHEELS PVT LTD,0,7,0
BALI AUTO INDUSTRIES,0,18,0
"BASUDEB ENGINEERING, CUTTACK",0,0,1
BATTRE ELECTRIC MOBLITY PVT LTD,365,0,0
BAXY LTD,0,716,0
BEML LIMITED,0,0,2
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,24,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,19,0
BENTLEY MOTORS LIMITED,0,0,1
BEST WAY AGENCIES PVT LTD,0,536,0
BGAUSS AUTO PRIVATE LIMITED,2023,0,0
BHADAURIA ENTERPRISES,0,1,0
BHAGWAN AGRO INDUSTRIES,0,0,6
BHARATH ENGINEERING WORKS,0,0,2
BHAVE ELECTRIC VEHICLES PVT LTD,0,238,0
BHM INDUSTRIES,0,251,0
BHOGAL COMBINE SPARE PARTS,0,0,5
BHOYAR AGRO IND WARDHA,0,0,5
BIG BULL TRADER PVT LTD,0,357,0
BIJNOR ENTERPRISES,0,1,0
BLIX CYCLES AND E-VEHICLES PVT LTD,2,0,0
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,27
BMW INDIA PVT LTD,784,0,1636
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,214,0,0
BOSS ENTERPRISES,0,13,0
BOUNCE ELECTRIC 1 PVT LTD,1006,0,0
BRIGHT AUTOZONE PVT LTD,0,227,0
BRIGHT SAFAR,0,14,0
BSERAIL ENGINEERING PVT LTD,0,7,0
BSMS AGRICULTURE WORKSHOP,0,0,1
BULL MACHINES PVT LTD,0,0,144
BYD INDIA PRIVATE LIMITED,0,0,399
CAPITAL AUTO INDUSTRIES,0,176,0
CAPTAIN TRACTORS PVT. LTD.,0,0,145
CARREE YUNUS VEHICLE PVT LTD,0,13,0
CART INDIA,0,13,0
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,173
CATERPILLAR INDIA PRIVATE LIMITED,0,0,194
CEEON INDIA,0,33,0
CELLETRON MOTOR WORKS,0,19,0
CHAMPION POLY PLAST,0,1005,0
CHANDAKE-AUTOMOBILES LLP,0,22,0
CHANDANA CORPORATION,9,0,0
CHANNY AGRO INDUSTRIES,0,0,2
CHAUHAN AUTO INDUSTRIES,0,47,0
CHEHAK BATTERIES,0,41,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),48,0,0
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),5,0,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,26,0
CLAAS INDIA P LTD,0,0,9
CLASSIC LEGENDS PVT LTD,4326,0,0
C M OVERSEAS,0,2,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,2606
COMETTO TRAILER,0,0,3
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,18
CONTINENTAL ENGINES PVT LTD,0,23,14
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,15
CYRUS AUTO INDUSTRIES PVT LTD,0,2,0
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1924
DAKSH INDUSTRIES,0,625,0
DALIAN FORKLIFT CO.,0,0,1
DASHMESH TRADERS,0,19,0
DASMESH AGRICULTURE WORKS,0,0,3
DASMESH MECHANICAL WORKS PVT.LTD,0,0,65
DAVE EXIM PVT LTD,0,23,0
DEEP DRAWN TECHNOLOGIES,0,3,0
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,0,0,2
DE EUSI MOTORS PVT LTD.,0,155,0
DELTA AUTOCORP LTD,0,110,0
DEVAM ELECTRIC VEHICLES PVT LTD,0,11,0
DEVANGI ENG..,0,0,13
DEV ENGINEERING WORKS,0,0,13
DEV ENGINEERING WORKS BOLANGIR MADHIAPALI,0,0,1
DEV MOTORS,0,189,0
DEWAN AGRICULTURE WORKS,0,0,1
DHANALAXMI ENGINEERING PURI CHARINALA,0,0,1
DHANAVENKAT ENGG.WORKS,0,0,1
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,0,0,4
DHANLAXMI FABRICATORS,0,0,1
DHAR IN PVT LTD,0,18,0
DHAR INTERNATIONAL,0,4,0
DHARMPAL ENTERPRISES,0,1,0
DHIMAN AGRICULTURE,0,0,2
DHRITI ENTERPRISES,0,3,0
"DIAMOND ENGG,CTC",0,0,3
DIAMOND E VEHICLES,0,37,0
DILLI ELECTRIC AUTO PVT LTD,0,2388,0
DIVANSU AUTOMOBILES LTD,0,20,0
DIVYA ENTERPRISES,0,87,0
DONGMA VEHICLE (IMPORTER: MERCURY METALS),6,4,0
DOOSAN BOBCAT INDIA PVT LTD,0,0,41
DSF INDUSTRIES PVT LTD,0,3,0
DSR EV MOBILITY PVT LTD,0,4,0
DUCATI INDIA PVT LTD,34,0,0
DUKE AUTO INDIA,0,81,0
DULEVO INDIA PVT LTD,0,0,1
DURGA AND DURGA ENG WORKS GANJAM HALADIAPADAR,0,0,1
"DURGA&DURGA ENGG WORKS,BHMPUR",0,0,1
DURGA ENGINEERING WORKS,0,0,1
DURGA FILTERS PVT LTD,4,0,0
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,7
DYS IMPEX PRIVATE LIMITED,0,51,0
E-ASHWA AUTOMOTIVE PVT LTD,0,9,0
EBUZZ MOBILITY LLP,0,2,0
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),1,0,0
ECO DYNAAMIC EQUIPMENTS,0,4,0
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,34,0
