Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,107,0
AADHYA ENTERPRISES,0,47,0
AAHANA COMMERCE PVT LTD,0,227,0
AAKK AUTO PVT LTD,0,7,0
AARGEE ELECTRIC,0,4,0
ABZO MOTORS PVT LTD,4,0,0
ACCRETION POWER AUTOS,0,59,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,888
A D AGRO WORKS,0,0,9
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,113
ADIDEV TECHNOA PVT LTD,0,199,0
ADISHWAR AUTO RIDE INDIA PVT LTD,23,0,0
ADITYA AGRO INDUSTRIES,0,0,6
ADITYA SAI INDUSTRIES,0,29,0
ADM TECHNOLOGIES PVT. LTD.,0,48,0
ADRIS ELECTRIC PVT LTD,1,0,0
AFTEK MOTORS INDIA PVT LTD,1,0,0
AGP ENGINEERING PRODUCTS,0,0,1
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,11
AGRO INDUSTRIES,0,0,9
AHMED MOTORS,0,0,1
AJANTA KRUSHI YANTRA,0,0,17
AJAX ENGINEERING LTD,0,0,353
AJAX FIORI ENGINEERING PVT LTD,0,0,1
AJAY ENTERPRISES,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,22,0
A.J ENTERPRISES,0,12,0
AKAL AGRO INDUSTRY,0,0,4
AKASH TRAILOR,0,0,2
AKG INTERNATIONAL,0,229,0
A K GUPTA & CO.,0,59,0
A K S ENG AGRO INDUSTRIES,0,0,2
ALIED E MOBILITY PVT LTD,0,1,0
ALLENTTI MOTORS PVT LTD,0,27,0
ALLFINE INDUSTRIES PVT LTD,0,1126,0
ALL TERRAIN CRANE,0,0,92
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,273,0
ALTIGREEN PROPULSION LABS PVT LTD,0,60,3
ALTIUS EV TECH PVT LTD,3,0,0
ALTIUS TECHNOLOGIES,0,2,0
AMAN AGRO INDUSTRIES,0,0,1
AMAN AUTOMOBILES,0,7,0
AMAN ELECTRIC VEHICLES,0,45,0
AMARJEET HARVESTER INDUSTRY,0,0,3
AMBIKA ENTERPRISES,0,17,0
AMBIKA INDUSTRIES,0,178,0
AMIR KHAN SAIFI STEEL WORKS,0,4,0
AMMANN APOLLO INDIA PVT LTD,0,0,12
AMO MOBILITY SOLUTIONS PVT LTD,18,0,0
AMPERE VEHICLES PRIVATE LIMITED,44,0,0
"AMRIT ENGG WORKS,DKL",0,0,3
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,1
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),3,0,0
