Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,176,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
AADHYA ENTERPRISES,0,40,0
AAHANA COMMERCE PVT LTD,0,393,0
AAKK AUTO PVT LTD,0,6,0
AARON INDUSTRIES,0,14,0
ABZO MOTORS PVT LTD,2,0,0
ACCRETION POWER AUTOS,0,41,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,877
A D AGRO WORKS,0,0,7
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,602
ADIDEV TECHNOA PVT LTD,0,104,0
ADISHWAR AUTO RIDE INDIA PVT LTD,10,0,0
ADITYA AGRO INDUSTRIES,0,0,3
ADITYA SAI INDUSTRIES,0,8,0
ADM TECHNOLOGIES PVT. LTD.,0,42,0
AERODRIVE PVT LTD,0,12,0
AEROEAGLE AUTOMOBILES PVT LTD,0,0,12
AFKON AUTOMOTIVES PVT LTD,0,70,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,15
AGRO INDUSTRIES,0,0,8
AHMED MOTORS,0,0,2
AJANTA KRUSHI YANTRA,0,0,13
AJAX ENGINEERING LTD,0,0,375
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,0,0,6
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,4
AJAY MOTORS PRIVATE LIMITED,0,14,0
A.J ENTERPRISES,0,13,0
AKG INTERNATIONAL,0,125,0
A K GUPTA & CO.,0,112,0
A K S ENG AGRO INDUSTRIES,0,0,1
ALIED E MOBILITY PVT LTD,0,27,0
ALLENTTI MOTORS PVT LTD,0,20,0
ALLFINE INDUSTRIES PVT LTD,0,235,0
ALL TERRAIN CRANE,0,0,200
ALTIER ELECTRIC VEHICLES PVT LTD,0,204,0
ALTIGREEN PROPULSION LABS PVT LTD,0,12,0
ALTIUS EV TECH PVT LTD,1,0,0
ALTIUS TECHNOLOGIES,0,1,0
ALVI AUTO,0,12,0
AMAN AUTOMOBILES,0,1,0
AMAN ELECTRIC VEHICLES,0,28,0
AMAN ENTERPRISES BHPATNA,0,0,6
AMAR ENGG. WORKS,0,0,1
AMARJEET HARVESTER INDUSTRY,0,0,2
AMBIKA ENTERPRISES,0,12,0
AMBIKA INDUSTRIES,0,202,0
AMIR KHAN SAIFI STEEL WORKS,0,5,0
AMMANN APOLLO INDIA PVT LTD,0,0,21
AMO MOBILITY SOLUTIONS PVT LTD,12,0,0
AMPERE VEHICLES PRIVATE LIMITED,45,0,0
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,2
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0
ANJALI AUTO COMPONENTS,0,2,0
ANJALI TRADERS,0,20,0
ANNAPURNA INDUSTRIES,0,0,6
A P I MOTORS PVT LTD,0,43,1
APM AUTO SALES,0,55,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,7
APSARA ENTERPRISE,0,169,0
ARCHIT ENTERPRISES,0,115,0
ARD EXIM,0,2,0
ARIHANT ENTERPRISES,0,1,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,1
A.R. MOTOR,0,53,0
ARNA ELECTRIC AUTO PVT LTD,0,1,0
ARROW AUTOMOTIVE,0,202,0
ARYAN INDUSTRIES,0,2,0
ASAV AUTOMOTIVE PVT LTD,0,3,0
ASHA IMPEX,0,21,0
ASHMA-MOTORS PVT LTD,0,88,0
ASHOK LEYLAND LTD,0,0,11722
ASSAM FABRICATION WORKS,0,0,7
ASTON MARTIN LAGONDA LTD,0,0,2
ATHER ENERGY LTD,10534,0,0
ATTOLENT AUTO GROUP PVT LTD,0,34,0
ATUL AUTO LTD,0,2232,0
ATUL GREENTECH PRIVATE LIMITED,0,130,0
ATUMOBILE PVT LTD,2,0,0
ATUT SANGAM,0,163,0
AUDI AG,0,0,23
AUM ENGINEERING AND WORKS,0,0,6
AUTOECO GREEN ENERGY PVT LTD,0,51,0
AUTOEXIM HOUSE LLP,0,0,4
AUTOMOBILI LAMBORGHINI S.P.A,0,0,9
A.V.AUTOMOTIVES PVT LTD,0,379,0
AVL ELECTRIC VEHICLES PVT LTD,0,306,0
AVON CYCLES LTD,0,50,0
AVTAR ENGINEERING WORKS,0,0,2
