Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,2,0
3S INDUSTRIES PRIVATE LIMITED,0,92,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,3
AADHYA ENTERPRISES,0,67,0
AAHANA COMMERCE PVT LTD,0,124,0
ABZO MOTORS PVT LTD,3,0,0
ACCRETION POWER AUTOS,0,35,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,1087
A D AGRO WORKS,0,0,17
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,236
ADIDEV TECHNOA PVT LTD,0,94,0
ADISHWAR AUTO RIDE INDIA PVT LTD,30,0,0
ADITYA AGRO INDUSTRIES,0,0,6
ADITYA SAI INDUSTRIES,0,21,0
ADM TECHNOLOGIES PVT. LTD.,0,13,0
ADRIS ELECTRIC PVT LTD,2,0,0
AFTEK MOTORS INDIA PVT LTD,1,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,8
AGRO INDUSTRIES,0,0,9
AHMED MOTORS,0,0,7
AJANTA KRUSHI YANTRA,0,0,3
AJAX ENGINEERING LTD,0,0,395
AJAY MOTORS PRIVATE LIMITED,0,10,0
A.J ENTERPRISES,0,17,0
AKAL AGRO INDUSTRY,0,0,5
AKASH TRAILOR,0,0,3
AKG INTERNATIONAL,0,114,0
A K GUPTA & CO.,0,46,0
A K S ENG AGRO INDUSTRIES,0,0,1
ALLENTTI MOTORS PVT LTD,0,16,0
ALLFINE INDUSTRIES PVT LTD,0,867,0
ALL TERRAIN CRANE,0,0,65
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,260,0
ALTIGREEN PROPULSION LABS PVT LTD,0,149,2
ALTIUS EV TECH PVT LTD,2,0,0
AMAN AGRO INDUSTRIES,0,0,2
AMAN AUTOMOBILES,0,7,0
AMAN ELECTRIC VEHICLES,0,46,0
AMAR ENGG. WORKS,0,0,2
AMARJEET HARVESTER INDUSTRY,0,0,3
AMBIKA ENTERPRISES,0,10,0
AMBIKA INDUSTRIES,0,139,0
AMMANN APOLLO INDIA PVT LTD,0,0,22
AMO MOBILITY SOLUTIONS PVT LTD,13,0,0
AMPERE VEHICLES PRIVATE LIMITED,122,0,0
"AMRIT ENGG WORKS,DKL",0,0,1
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2,0,0
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),12,0,0
ANJALI AUTO COMPONENTS,0,11,0
ANJALI TRADERS,0,5,0
ANNAPURNA INDUSTRIES,0,0,7
ANVITA AUTO TECH WORKS PVT LTD,1,0,0
APARNA INDUSTRIES,0,6,0
A P I MOTORS PVT LTD,0,47,0
APM AUTO SALES,0,54,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,10
APSARA ENTERPRISE,0,77,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,1
A R AGRO TECH,0,0,6
ARCHIT ENTERPRISES,0,98,0
ARD EXIM,0,9,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,1
ARNA ELECTRIC AUTO PVT LTD,0,22,0
ARROW AUTOMOTIVE,0,231,0
ASHA IMPEX,0,12,0
ASHMA-MOTORS PVT LTD,0,90,0
"ASHOK FABRIC & ENGG,RAIRAKHOL",0,0,1
ASHOK LEYLAND LTD,0,0,15620
