Maker,2W,3W,4W
CAPTAIN TRACTORS PVT. LTD.,0,0,327
CARREE YUNUS VEHICLE PVT LTD,0,8,0
CART INDIA,0,31,0
CASE EQUIPMENT PRIVATE LTD,0,0,1
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,96
CATERPILLAR INDIA PRIVATE LIMITED,0,0,127
CEEON INDIA,0,55,0
CELLETRON MOTOR WORKS,0,6,0
CHAMPION POLY PLAST,0,984,0
CHANDAKE-AUTOMOBILES LLP,0,14,0
CHANDANA CORPORATION,9,0,0
CHANNY AGRO INDUSTRIES,0,0,2
CHAUHAN AUTO INDUSTRIES,0,26,0
CHEHAK BATTERIES,0,36,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),39,0,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,138,0
CIVIMEC ENGINEERING PVT LTD,0,0,1
CLAAS INDIA P LTD,0,0,25
CLASSIC LEGENDS PVT LTD,2122,0,0
CLENERGY INNOVATIONS PVT LTD,0,2,0
C M OVERSEAS,0,2,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,2562
COMETTO TRAILER,0,0,4
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,14
CONTINENTAL ENGINES PVT LTD,0,37,0
CONVENIENT MACHINES PVT LTD,0,0,1
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,18
CUBE AUTO INDUSTRIES BNGLORE,0,0,1
CYRUS AUTO INDUSTRIES PVT LTD,0,4,0
DAIMLER AG,0,0,2
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1502
DAKSH INDUSTRIES,0,706,0
DAO EVTECH PRIVATE LIMITED,3,0,0
DASHMESH MECH WORKS PVT LTD,0,0,1
DASHMESH TRADERS,0,12,0
DASMESH AGRICULTURE WORKS,0,0,1
DASMESH MECHANICAL WORKS PVT.LTD,0,0,18
DAVE EXIM PVT LTD,0,28,0
DEBU AUTOMOBILES,0,4,0
DEEP DRAWN TECHNOLOGIES,0,2,0
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,0,0,1
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",0,0,1
DE EUSI MOTORS PVT LTD.,0,173,0
DELTA AUTOCORP LTD,0,157,0
DELTEK ENTERPRISES PVT LTD,0,2,0
DEV AGRO INDUSTRIES,0,0,2
DEVAM ELECTRIC VEHICLES PVT LTD,0,15,0
DEVANGI ENG..,0,0,5
DEVI ENGINEERING WORKS,0,0,2
DEV MOTORS,0,144,0
DEWAN AGRICULTURE WORKS,0,0,7
DHANLAXMI FABRICATORS,0,0,1
DHAR IN PVT LTD,0,9,0
DHAR INTERNATIONAL,0,4,0
DHIMAN AGRICULTURE,0,0,3
DHIMAN AGRICULTURE WORKS,0,0,1
DHRITI ENTERPRISES,0,23,0
"DIAMOND ENGG,CTC",0,0,8
DIAMOND E VEHICLES,0,57,0
DILLI ELECTRIC AUTO PVT LTD,0,2207,0
DIVANSU AUTOMOBILES LTD,0,14,0
DIVYA ENTERPRISES,0,45,0
D.K. MOTORS,0,1,0
DODGE MOTORS,0,0,1
DONGMA VEHICLE (IMPORTER: MERCURY METALS),1,0,0
DOOSAN BOBCAT INDIA PVT LTD,0,0,54
DSR EV MOBILITY PVT LTD,0,11,0
DUCATI INDIA PVT LTD,29,0,0
DUKE AUTO INDIA,0,57,0
DULEVO INDIA PVT LTD,0,0,1
DURGA AGRO WORKS,0,0,1
DURGA AND DURGA ENG WORKS GANJAM HALADIAPADAR,0,0,1
DURGA FILTERS PVT LTD,1,0,0
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,6
DYS IMPEX PRIVATE LIMITED,0,45,0
E-ASHWA AUTOMOTIVE PVT LTD,0,5,0
EBUZZ MOBILITY LLP,0,3,0
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),2,0,0
ECO DYNAAMIC EQUIPMENTS,0,7,0
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,49,0
ECO FUEL SYSTEMS (I) PVT LTD,14,0,0
ECO SMART VEHICLES PVT LTD,0,84,0
EFEV CHARGING SOLUTION PVT LTD,0,38,0
E-GURU AUTO ENERGY,0,13,0
EICHER TRACTORS,0,0,4185
EIMCO ELECON,0,0,2
ELECTRA INTERNATIONAL,0,9,0
ELECTROTECH TRANSMISSION PVT LTD,0,1,0
ELEGO MOTORS PVT LTD,8,0,0
ELEPHANTA INDUSTRIES PVT LTD,0,1,0
ELITE AUTO ENGINEERS PVT LTD,0,137,0
ELSA CONCRETING MACHINERY INDIA PVT LTD,0,0,1
ELTHOR ENERGY PRIVATE LIMITED,41,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,34,0
ENABLING E-VEHICLE PVT LTD,0,9,0
ENERGY ELECTRIC VEHICLES,0,1307,0
ENGINIA VEHICLES PVT LTD,0,80,0
ENGTIAN ELECTRIC BIKE PVT LTD,36,0,0
ENIGMA AUTOMOBILES PVT LTD,1,0,0
ENTICE IMPEX PVT LTD,0,94,0
EPOWER VEHICLES PVT LTD,0,2,0
ERISHA E MOBILITY PVT LTD,0,1,0
E ROYCE MOTORS INDIA PVT LTD,0,4,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,1,0,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,5869
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,348
ESCORTS R&D CENTRE,1,0,0
ESCORTS TRACTORS LTD,0,0,4
E-SPRINTO GREEN ENERGY PVT LTD,235,0,0
EULER MOTORS PVT LTD,0,253,0
EVAGE AUTOMOTIVE PVT LTD,0,0,15
EVBHARAT RANGE PRIVATE LIMITED,0,2,0
EVCO AUTOMOBILES PVT LTD,0,152,0
EVEX AUTO INDIA PVT LTD,0,5,0
EVTRIC MOTORS PVT LTD,1,0,0
EXIDE INDUSTRIES LTD,0,182,0
EXTRA FAST SOLUTIONS,0,67,0
EXTREME MOTORS,0,12,0
FARMTECH AGRO INDUSTRIES,0,0,3
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,353
FEDE INDUSTRIES PVT LTD,0,98,0
FERRARI SPA (IMPORTER:SELECT CARS P LTD),0,0,3
FIELDTRACK EARTHMOVERS PVT LTD,0,0,16
FIORI CONCRETE MACHINES INDIA PVT LTD,0,0,3
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,26,0
FIVE ELEMENTS,0,3,0
FORCE MOTORS LIMITED,0,0,2240
FORD INDIA PVT LTD,0,0,1
FRN MOTORS PVT LTD,0,2,0
FUJIYAMA POWER INFRA PVT. LTD.,91,0,0
GAGAN AUTOMOTIVES,0,94,0
GAHIR AGRICULTURAL INDUSTRIES,0,0,5
GAHIR AGRO INDUSTRIES LIMITED,0,0,1
GALAXY ELECTRIC VEHICLES,0,1,0
GAMZEN PLAST PVT LTD,0,0,2
GANESH AGRO INDUSTRIES,0,0,3
GAURA ELECTRIC VEHICLES PVT LTD,63,0,0
GAYATRI ELECTRIC VEHICLES PVT LTD,0,196,0
G & G AUTOMOTIVE,0,65,0
GILL AGRICULTURE WORKS,0,0,1
GILL AGROTECH,0,0,6
G.K E-VEHICLS INDUSTRIES PVT LTD,0,71,0
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,24,0
G.K. RICKSHAW PVT LTD,0,407,0
GOBIND AGRO INDUSTRIES,0,0,18
GOBIND INDUSTRIES PVT LTD,0,3,0
GODAWARI ELECTRIC MOTORS PVT LTD,50,26,0
GODREJ AND BOYCE MFG CO LTD,0,0,1
GODREJ & BOYCE MFG. CO. LTD,0,0,17
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,3,0
GOLDEN ELECTRIC VEHICLES,0,6,0
GOLD HOFER,0,0,2
GOLDHOFER INDIA LLP,0,0,3
GOPAL AGRO AGENCY GANJAM HALADIAPADAR,0,0,1
GOPAL AUTO MOTORS PVT LTD,0,134,0
GOREEN E-MOBILITY PVT LTD,53,0,0
GRD MOTORS,0,312,0
GREAVES ELECTRIC MOBILITY PVT LTD,2824,0,0
GREENFIT INDUSTRIES LLP,0,49,0
GREEN IMPEX,0,31,0
GREEN SHUTTLE TECHNOLOGY PVT LTD,0,3,0
GREEN STAR MOTORS,0,20,0
GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,1,0
GREENTECH AUTO LLP,0,2,0
