Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,83,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
AADHYA ENTERPRISES,0,25,0
AAHANA COMMERCE PVT LTD,0,186,0
AAKK AUTO PVT LTD,0,5,0
ABZO MOTORS PVT LTD,6,0,0
ACCRETION POWER AUTOS,0,46,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,911
A D AGRO WORKS,0,0,4
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,120
ADIDEV TECHNOA PVT LTD,0,160,0
ADISHWAR AUTO RIDE INDIA PVT LTD,19,0,0
ADITYA SAI INDUSTRIES,0,6,0
ADM TECHNOLOGIES PVT. LTD.,0,14,0
AFTEK MOTORS INDIA PVT LTD,6,0,0
AGRAWAL RENEWABLE ENERGY PVT LTD,0,2,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,4
AGRO INDUSTRIES,0,0,4
AHMED MOTORS,0,0,2
AJAX ENGINEERING LTD,0,0,340
AJAY ENTERPRISES,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,22,0
A.J ENTERPRISES,0,9,0
AKAL AGRO INDUSTRY,0,0,3
AKASH TRAILOR,0,0,5
AKG INTERNATIONAL,0,171,0
A K GUPTA & CO.,0,36,0
A K S ENG AGRO INDUSTRIES,0,0,2
ALBEDO VISION PVT LTD,0,2,0
ALLENTTI MOTORS PVT LTD,0,26,0
ALLFINE INDUSTRIES PVT LTD,0,825,0
ALL TERRAIN CRANE,0,0,96
ALPHA SERVICES,0,0,3
ALTIER ELECTRIC VEHICLES PVT LTD,0,203,0
ALTIGREEN PROPULSION LABS PVT LTD,0,91,1
ALTIUS EV TECH PVT LTD,2,0,0
ALTIUS TECHNOLOGIES,0,2,0
AMAN AUTOMOBILES,0,9,0
AMAN ELECTRIC VEHICLES,0,38,0
AMARJEET HARVESTER INDUSTRY,0,0,1
AMBIKA ENTERPRISES,0,5,0
AMBIKA INDUSTRIES,0,147,0
AMMANN APOLLO INDIA PVT LTD,0,0,16
AMO MOBILITY SOLUTIONS PVT LTD,5,0,0
AMPERE VEHICLES PRIVATE LIMITED,99,0,0
"AMRIT ENGG WORKS,DKL",0,0,4
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0
ANJALI TRADERS,0,9,0
ANNAPURNA INDUSTRIES,0,0,2
ANOOP CYLINDERS PVT LTD,0,3,0
"ANUP ENTERPRISES,SNG",0,0,4
ANVITA AUTO TECH WORKS PVT LTD,1,0,0
APARNA INDUSTRIES,0,2,0
A P I MOTORS PVT LTD,0,49,0
APM AUTO SALES,0,71,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,9
APSARA ENTERPRISE,0,84,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,1
ARCHIT ENTERPRISES,0,100,0
ARD EXIM,0,1,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,1
A.R. MOTOR,0,27,0
ARNA ELECTRIC AUTO PVT LTD,0,1,0
ARROW AUTOMOTIVE,0,338,0
ASHA IMPEX,0,22,0
ASHLESHA POWER CONTROLS PVT LTD,0,1,0
ASHMA-MOTORS PVT LTD,0,129,0
ASHOK LEYLAND LTD,0,0,11492
ASSAM FABRICATION WORKS,0,0,4
ASTON MARTIN LAGONDA LTD,0,0,1
ATHER ENERGY LTD,6217,0,0
ATTOLENT AUTO GROUP PVT LTD,0,38,0
ATUL AUTO LTD,0,2025,0
ATUL GREENTECH PRIVATE LIMITED,0,36,0
ATUMOBILE PVT LTD,2,0,0
ATUT SANGAM,0,222,0
AUDI AG,0,0,48
AUTOECO GREEN ENERGY PVT LTD,0,51,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,8
A.V.AUTOMOTIVES PVT LTD,0,96,0
AVL ELECTRIC VEHICLES PVT LTD,0,277,0
AVON CYCLES LTD,0,37,0
AVTAR ENGINEERING WORKS,0,0,3
AWACHAT INDUSTRIES LTD,0,0,101
AYAAN ELECTRONIC PVT LTD,3,0,0
B24 ROKET EV,0,104,0
BABA E-VEHICLES,0,79,0
BABAJI ENGINEERING TRAILOR WORKS,0,0,1
BABA PRODUCT,0,0,2
BAGHWAN RIKSHAW UDYOG,0,1,0
BAJAJ AUTO LTD,153897,34235,27
BAJAJ IMPLEMENTS PVT. LTD,0,87,0
BALAJI AGRO INDUSTRIES,0,0,7
BALAJI TRADING COMPANY,0,4,0
BALAN ENGINEERING PVT LTD,0,1,0
BAL GOPAL WHEELS PVT LTD,0,8,0
BALI AUTO INDUSTRIES,0,11,0
"BASUDEB ENGINEERING, CUTTACK",0,0,3
BATTRE ELECTRIC MOBLITY PVT LTD,229,0,0
BAXY LTD,0,337,0
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,26,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,14,0
BENTLEY MOTORS LIMITED,0,0,8
BEST WAY AGENCIES PVT LTD,0,433,0
BGAUSS AUTO PRIVATE LIMITED,1062,0,0
BHADAURIA ENTERPRISES,0,6,0
BHAGWAN AGRO INDUSTRIES,0,0,3
BHAVE ELECTRIC VEHICLES PVT LTD,0,171,0
BHM INDUSTRIES,0,223,0
BHOGAL COMBINE SPARE PARTS,0,0,1
BIDISHA ENTERPRISES PVT LTD,0,0,1
BIG BULL TRADER PVT LTD,0,143,1
BIJNOR ENTERPRISES,0,7,0
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,37
BMW INDIA PVT LTD,532,0,1058
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,56,0,0
BOUNCE ELECTRIC 1 PVT LTD,102,0,0
BRIGHT AUTOZONE PVT LTD,0,294,0
BRIGHT METAL WORKS,0,1,0
BSERAIL ENGINEERING PVT LTD,0,10,0
BSMS AGRICULTURE WORKSHOP,0,0,2
BULL MACHINES PVT LTD,0,0,81
BYD INDIA PRIVATE LIMITED,0,0,245
CAPITAL AUTO INDUSTRIES,0,163,0
CAPTAIN TRACTORS PVT. LTD.,0,0,85
CARREE YUNUS VEHICLE PVT LTD,0,1,0
CART INDIA,0,1,0
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,121
CATERPILLAR INDIA PRIVATE LIMITED,0,0,174
CAUSIS E-MOBILITY PVT LTD,0,0,1
CEEON INDIA,0,56,0
CELLETRON MOTOR WORKS,0,9,0
CHAANY AGRO INDUSTRIES,0,0,2
CHAMPION POLY PLAST,0,935,0
CHANDAKE-AUTOMOBILES LLP,0,27,0
CHANDANA CORPORATION,8,0,0
CHAUHAN AUTO INDUSTRIES,0,56,0
CHEHAK BATTERIES,0,21,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),16,0,0
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,1,0,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,33,0
CLAAS INDIA P LTD,0,0,2
CLASSIC LEGENDS PVT LTD,2097,0,0
C M OVERSEAS,0,2,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,2876
COMETTO TRAILER,0,0,1
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,22
CONTINENTAL ENGINES PVT LTD,0,28,0
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,19
CUBE AUTO INDUSTRIES,0,0,1
CYRUS AUTO INDUSTRIES PVT LTD,0,9,0
DAIMLER AG,0,0,5
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1520
DAKSH INDUSTRIES,0,597,0
DAO EVTECH PRIVATE LIMITED,4,0,0
DASHMESH TRADERS,0,8,0
DASMESH MECHANICAL WORKS PVT.LTD,0,0,21
DAVE EXIM PVT LTD,0,10,0
DEEP DRAWN TECHNOLOGIES,0,1,0
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",0,0,3
DE EUSI MOTORS PVT LTD.,0,177,0
DELTA AUTOCORP LTD,0,156,0
DELTEK ENTERPRISES PVT LTD,0,8,0
DEV AGRO INDUSTRIES,0,0,1
DEVAM ELECTRIC VEHICLES PVT LTD,0,5,0
DEVANGI ENG..,0,0,25
DEV MOTORS,0,64,0
DHAR IN PVT LTD,0,7,0
DHAR INTERNATIONAL,0,6,0
DHIMAN AGRICULTURE,0,0,2
DHIMAN AGRICULTURE WORKS,0,0,4
DHRITI ENTERPRISES,0,21,0
"DIAMOND ENGG,CTC",0,0,2
DIAMOND E VEHICLES,0,31,0
DILLI ELECTRIC AUTO PVT LTD,0,1963,0
DIVANSU AUTOMOBILES LTD,0,5,0
DIVYA ENTERPRISES,0,35,0
D.K. MOTORS,0,1,0
DOOSAN BOBCAT INDIA PVT LTD,0,0,33
DSR EV MOBILITY PVT LTD,0,7,0
DUCATI INDIA PVT LTD,31,0,0
DUKE AUTO INDIA,0,51,0
DULEVO INDIA PVT LTD,0,0,6
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,15
DYNAVOLT TECHNOLOGY INDIA LTD,0,1,0
DYS IMPEX PRIVATE LIMITED,0,83,0
E-ASHWA AUTOMOTIVE PVT LTD,0,6,0
EBUZZ MOBILITY LLP,0,6,0
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),3,0,0
ECO DYNAAMIC EQUIPMENTS,0,7,0
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,16,0
ECO FUEL SYSTEMS (I) PVT LTD,20,0,0
ECO SMART VEHICLES PVT LTD,0,83,0
EDMRC MANNSCHAFT LLP,0,1,0
EFEV CHARGING SOLUTION PVT LTD,0,8,0
E-GURU AUTO ENERGY,0,30,0
EICHER MOTORS LTD,0,0,1
EICHER TRACTORS,0,0,4625
ELECTRA INTERNATIONAL,0,1,0
ELECTRECA VEHICLES,1,0,0
ELEPHANTA INDUSTRIES PVT LTD,0,1,0
ELITE AUTO ENGINEERS PVT LTD,0,93,0
ELSA CONCRETING MACHINERY INDIA PVT LTD,0,0,2
ELTHOR ENERGY PRIVATE LIMITED,10,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,33,0
ENERGY ELECTRIC VEHICLES,0,1069,0
ENGINIA VEHICLES PVT LTD,0,6,0
ENGTIAN ELECTRIC BIKE PVT LTD,37,0,0
ENIGMA AUTOMOBILES PVT LTD,6,0,0
ENTICE IMPEX PVT LTD,0,91,0
EPOWER VEHICLES PVT LTD,0,2,0
ERISHA E MOBILITY PVT LTD,0,2,0
E ROYCE MOTORS INDIA PVT LTD,0,232,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,0,0,3
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,7555
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,426
ESCORTS R&D CENTRE,2,0,0
ESCORTS TRACTORS LTD,0,0,2
E-SPRINTO GREEN ENERGY PVT LTD,6,0,0
ESSAR ENGINEERING,0,0,1
ESSEL ENERGY INFRA PVT LTD,1,0,0
EULER MOTORS PVT LTD,0,209,1
EVBHARAT RANGE PRIVATE LIMITED,0,2,0
EVCO AUTOMOBILES PVT LTD,0,78,0
EVEX AUTO INDIA PVT LTD,0,4,0
EVTRIC MOTORS PVT LTD,7,0,0
EXIDE INDUSTRIES LTD,0,151,0
EXTRA FAST SOLUTIONS,0,55,0
EXTREME MOTORS,0,9,0
EYUG AUTOMOBILE PVT LTD,0,2,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,297
FEDE INDUSTRIES PVT LTD,0,91,0
FERRARI SPA,0,0,4
FIADO INDUSTRIES PVT LTD,8,0,0
FIELDTRACK EARTHMOVERS PVT LTD,0,0,11
FINE EQUIPMENTS INDIA PVT LTD,0,0,1
FIORI CONCRETE MACHINES INDIA PVT LTD,0,0,4
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,24,0
FIVE ELEMENTS,0,4,0
FORCE MOTORS LIMITED,0,0,2275
FORD INDIA PVT LTD,0,0,4
FSTMOTO (IMPORTER: AUTOICARE INNOVATION),3,0,0
FUJIYAMA POWER INFRA PVT. LTD.,1,0,0
GAGAN AUTOMOTIVES,0,49,0
GAHIR AGRICULTURAL INDUSTRIES,0,0,1
GAMZEN PLAST PVT LTD,0,0,1
GANESH AGRO INDUSTRIES,0,0,1
GAURA ELECTRIC VEHICLES PVT LTD,25,0,0
GAUTAM AGRO INDUSTRIES,0,0,1
GAYATRI ELECTRIC VEHICLES PVT LTD,0,220,0
G & G AUTOMOTIVE,0,47,0
GILL AGRICULTURE WORKS,0,0,2
GILLPREETAGRO INDUSTRIES,0,0,2
G.K E-VEHICLS INDUSTRIES PVT LTD,0,76,0
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,36,0
G.K. RICKSHAW PVT LTD,0,441,0
G. M. VEHICLE INDUSTRIES,0,4,0
GOBIND AGRO INDUSTRIES,0,0,5
GOBIND INDUSTRIES PVT LTD,0,1,0
GODAWARI ELECTRIC MOTORS PVT LTD,38,16,0
GODAWARI TECHNO SOLUTIONS PVT LTD,0,6,0
GODREJ AND BOYCE MFG CO LTD,0,0,4
GODREJ & BOYCE MFG. CO. LTD,0,0,13
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,1,0
GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),1,0,0
GOPAL AUTO MOTORS PVT LTD,0,113,0
"GOPAL ENGINEERING, BALASORE",0,0,1
GOREEN E-MOBILITY PVT LTD,147,0,0
GRD MOTORS,0,246,0
GREAVES ELECTRIC MOBILITY PVT LTD,2716,0,0
GREEN EVOLVE PVT LTD,0,10,0
GREENFIT INDUSTRIES LLP,0,31,0
GREEN IMPEX,0,29,0
GREEN SHUTTLE TECHNOLOGY PVT LTD,0,2,0
GREEN STAR MOTORS,0,14,0
GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,2,0
GREENTECH AUTO LLP,0,3,0
GREEN TECHNOLOGIES,0,29,0
GREEN WAY ECO RIDE,0,1,0
GREENWHEELS AUTOMOBILE PVT LTD,0,49,0
GROMAX AGRI EQUIPMENT LTD,0,0,216
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),15,0,0
GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),1,0,0
GURM AGRICULTURE WORKS,0,0,1
GURMUKH AGRO INDUSTRIES,0,0,2
GURU NANAK AGRI ENGG WORKS,0,0,15
GURU NANAK AGRI WORKS,0,0,4
HAITEK AUTOMOTIVE PVT LTD,0,6,0
HAMM AG,0,0,2
HANUMAN UDYOG,0,8,0
HARDEV AGRO TECH,0,0,1
HARJEET AGRO INDUSTRIES,0,0,1
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),19,0,0
HARMEET AGRICULTURE WORKS,0,0,4
HARSH TRADING CO,0,4,0
HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,1
HEMAVATHI AGRO INDUSTRIES,0,0,1
HERO ELECTRIC VEHICLES PVT. LTD,283,0,0
HERO HONDA MOTORS  LTD,43,0,0
HERO MOTOCORP LTD,397833,0,0
HEXALL MOTORS PVT LTD,0,3,0
HIMANI AGRO INDUSTRIES,0,0,1
HIM TEKNOFORGE LTD,0,79,0
HIND AGRO INDUSTRIES,0,0,1
HINDUSTAN MOTOR CORPORATION,0,67,0
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,3
HIRA AGRO INDUSTRIES,0,0,6
HITECH ENGINEERING LTD,0,0,3
HI-TECH INDUSTRIES,0,5,0
HITENDRA WELDING WORKS,0,0,19
HONDA CARS INDIA LTD,0,0,4342
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,352578,0,4
HONGKONG YIXING (IMPORTER: ADMS MARKETING),9,0,0
HOOGHLY MOTORS PVT LTD,0,385,0
HOP ELECTRIC MOBILITY PVT LTD,41,0,0
HOP MOTORS PVT LTD,0,20,0
HOTAGE INDIA,0,1033,0
HOVEL CYLINDER PVT LTD,0,5,0
H R AGRO INDUSTRIES,0,0,6
HUNDA EV PVT LTD,0,34,0
HUNDAL INDUSTRIES,0,82,0
HYKON INDIA LTD,0,2,0
HYUNDAI MOTOR INDIA LTD,0,0,39203
"HYUNDAI MOTORS LTD, SOUTH KOREA",0,0,2
INDERPREET AGRO INDUSTRIES,0,0,4
INDIA KAWASAKI MOTORS PVT LTD,272,0,0
INDIAN MOTORS,0,190,0
INDIA SAFE ENTERPRISE,0,32,0
INDIA YAMAHA MOTOR PVT LTD,50288,0,1
INDO FARM EQUIPMENT LIMITED,0,0,197
INDUS ELECTROTHERM INDIA LTD,0,0,1
INS AUTOMOBILES PVT LTD,0,101,0
INTERNATIONAL CARS & MOTORS LIMITED,0,0,3
INTERNATIONAL TRACTORS LIMITED,0,0,9251
INVVIGORS INDIA,0,2,0
IPL TECH ELECTRIC PVT LTD,0,0,1
ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,0,0,1
ISHWAR FARMLINE EQUIPMENTS PVT LTD,0,0,6
ISUZU MOTORS INDIA PVT LTD,0,0,146
IVOOMI INNOVATION PVT LTD,74,0,0
JADE KOREA SPINE LIFE,0,2,0
JAGUAR LAND ROVER INDIA LIMITED,0,0,364
JAIDKA POWER SYSTEMS PVT LTD,0,8,0
JAIN POWER CORP,0,8,0
JAISIK BUSINESS LINKS PVT LTD,0,29,0
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,14,0
JAJODIA COMMODITIES PVT LTD,0,96,0
JANGEER MANUFACTURING INDUSTRIES PVT LTD,0,0,1
JAY AGRO INDUSTRIES,0,0,8
JAYATI TOOLS,0,1,0
JBM AUTO LIMITED,0,0,35
JCB INDIA LIMITED,0,0,2534
JESSUN TECHNO PVT LTD,0,14,0
JIANGSU AIMA (IMPORTER: FUTURE EV),6,0,0
JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),1,0,0
JIANGSU DALONG (IMPORTER: SABOO TOR),5,0,0
JIANGSU GUOWEI (IMPORTER:ELECTRO-TECH),1,0,0
JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),4,0,0
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),1,0,0
JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),1,0,0
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),22,0,0
JITENDRA NEW EV-TECH PVT. LTD,53,0,0
JITENDRA TEMPO PARTS,0,53,0
J K AGRO INDUSTRIES,0,0,6
J K AMO-PAPERS & CO,0,0,1
JMSSP AGRO INDUSTRIES PVT LTD,0,0,2
JMT VEHICLES PVT LTD,0,188,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,0,5540
JOYRAM STEEL FABRICATION WORKS,0,1,0
J P AUTO TECH,0,3,0
J S AGRO INDUSTRIES,0,0,6
J. S. AUTO (P) LTD,0,973,0
JS MOBILEON PVT LTD,0,118,0
JSW MG MOTOR INDIA PVT LTD,0,0,3842
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),2,0,0
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),14,0,0
JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),3,0,0
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),3,0,0
KABIRA MOBILITY LLP,2,0,0
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,37,0
KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),4,0,0
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),1,0,0
KAKKAR ELECTRIC AUTO PVT LTD,0,25,0
KALPVRIKSH ELECTOMOBILES CO,0,21,0
KAMAZ INDUSTRIES,0,4,0
KANHA ELECTRIC VEHICLES,0,9,0
KAPTECH INDIA PVT LTD,0,164,0
KARMA MECHANICAL WORKS,0,0,2
KARTAR AGRO INDUSTRIES PVT LTD,0,0,117
KARTAR TRACTORS PRIVATE LIMITED,0,0,31
KCAS ELECTRIC VEHICLES PVT LTD,0,20,0
KERALA AUTOMOBILES LIMITED,0,10,0
KETO MOTORS PVT LTD,0,96,0
KGN,0,20,0
KGN INDUSTRIES,0,86,0
KHALSAE-VEHICLES PVT LTD,0,850,0
KIA INDIA PRIVATE LIMITED,0,0,16825
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,457,199,0
KION INDIA PVT LTD,0,0,79
KIRAN AUTOMOBILE INDUSTRY,0,21,0
KIRTI SOLAR LTD,0,1,0
KISAN ENGINEERING WORKS,0,0,5
KISSAN AGRO INDUSTRIES,0,0,1
KLB KOMAKI PVT LTD,276,51,1
KOMATSU LTD JAPAN,0,0,3
KPT INDUSTRIES LTD,0,2,0
KPT MOTORS,0,5,0
KRISHNA ENGINEERING WORKS,0,73,0
KRISHNA VEHICALS,0,6,0
K.S. AGRICULTURAL INDUSTRIES PVT. LTD,0,0,18
K.S. AGROTECH  PVT LTD,0,0,16
K T ENTERPRISES,0,6,0
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,0,0,1224
KUKU AUTOMOTIVES,0,27,0
KULAR AGRO WORKS,0,0,2
KUMAR ENGINEERING,0,102,0
K. V. INDUSTRIES,0,2,0
KYTE ENERGY PVT. LTD.,37,0,0
LAKSHYA AUTO SALES CORPORATION,0,20,0
LALA G E RICKSHAW AND SPARE PARTS,0,6,0
LAWAT MOTORS LLP,0,25,0
LAXMI ENGINEERING WORKS,0,0,1
"LAXMI GOBINDA AGRO IND,BLS",0,0,1
L B AGRO PRODUCTS,0,0,21
LECTRIX E VEHICLES PVT LTD,397,483,0
LEXUS MOTORS LTD,0,0,1
LIEBHERR,0,0,2
LIEBHERR INDIA PVT LTD,0,0,4
LIMO AUTO CARE PVT LTD,0,2,0
LIONIZE AUTOMOBILE PVT LTD,0,35,0
LIUGONG INDIA PVT. LTD,0,0,72
LOCAL TRAILER MANUFACTURER,0,0,3056
LOHIA AUTO INDUSTRIES,0,103,0
LORDS VEHICLE MFG PVT LTD,0,10,0
LOTAY AGRO TECH,0,0,1
LOTEY INDUSTRY,0,0,3
L&T CONSTRUCTION EQUIPMENT LIMITED,0,0,26
LUCKY INDUSTRIES,0,19,0
M2J E VAHAN PVT LTD,0,1,0
MAAA MANASA TRAILOR WORKS,0,0,1
MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,0,1,0
MAA ENGINEERING TRAILOR,0,0,6
MAA KALPANA ENTERPRISE,0,27,0
"MAA MANGALA MOTORS & ENGG,RKL",0,0,1
