Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,39,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
AADHYA ENTERPRISES,0,43,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,1,0
AAHANA COMMERCE PVT LTD,0,140,0
AAKK AUTO PVT LTD,0,1,0
ABZO MOTORS PVT LTD,6,0,0
ACCRETION POWER AUTOS,0,45,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,847
A D AGRO WORKS,0,0,13
ADAPT MOTORS PVT LTD,0,0,1
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,62
ADIDEV TECHNOA PVT LTD,0,108,0
ADISHAKTI TRACTORS,0,0,1
ADISHWAR AUTO RIDE INDIA PVT LTD,24,0,0
ADITYA AGRO INDUSTRIES,0,0,1
ADITYA SAI INDUSTRIES,0,20,0
ADM TECHNOLOGIES PVT. LTD.,0,13,0
ADRIS ELECTRIC PVT LTD,1,0,0
AFTEK MOTORS INDIA PVT LTD,5,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,9
AGRO INDUSTRIES,0,0,5
AJANTA KRUSHI YANTRA,0,0,22
AJAX ENGINEERING LTD,0,0,517
AJAY ENTERPRISES,0,0,2
AJAY MOTORS PRIVATE LIMITED,0,11,0
A.J ENTERPRISES,0,7,0
AKAL AGRO INDUSTRY,0,0,5
AKG INTERNATIONAL,0,153,0
A K GUPTA & CO.,0,32,0
ALLENTTI MOTORS PVT LTD,0,16,0
ALLFINE INDUSTRIES PVT LTD,0,788,0
ALL TERRAIN CRANE,0,0,109
ALTIER ELECTRIC VEHICLES PVT LTD,0,294,0
ALTIGREEN PROPULSION LABS PVT LTD,0,16,0
ALTIUS EV TECH PVT LTD,2,0,0
AMAN AGRO INDUSTRIES,0,0,3
AMAN AUTOMOBILES,0,6,0
AMAN ELECTRIC VEHICLES,0,53,0
AMARJEET HARVESTER INDUSTRY,0,0,4
AMBIKA ENTERPRISES,0,1,0
AMBIKA INDUSTRIES,0,103,0
AMMANN APOLLO INDIA PVT LTD,0,0,18
AMO MOBILITY SOLUTIONS PVT LTD,4,0,0
AMPERE VEHICLES PRIVATE LIMITED,164,0,0
"AMRIT ENGG WORKS,DKL",0,0,12
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,8,0,0
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),7,0,0
ANJALI AUTO COMPONENTS,0,2,0
ANJALI TRADERS,0,10,0
ANNAPURNA INDUSTRIES,0,0,3
A P I MOTORS PVT LTD,0,54,0
APM AUTO SALES,0,30,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,6
APSARA ENTERPRISE,0,58,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,1
ARCHIT ENTERPRISES,0,78,0
ARD EXIM,0,5,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,3
A.R. MOTOR,0,10,0
ARNA ELECTRIC AUTO PVT LTD,0,2,0
ARROW AUTOMOTIVE,0,292,0
ASHA IMPEX,0,16,0
ASHMA-MOTORS PVT LTD,0,89,0
ASHOK LEYLAND DEFENCE SYSTEMS LTD,0,0,3
ASHOK LEYLAND LTD,0,0,16665
ASSAM FABRICATION WORKS,0,0,5
ASTON MARTIN LAGONDA LTD,0,0,2
ATHER ENERGY LTD,4144,0,0
ATTOLENT AUTO GROUP PVT LTD,0,58,0
ATUL AUTO LTD,0,1764,0
ATUL GREENTECH PRIVATE LIMITED,0,44,0
ATUMOBILE PVT LTD,3,0,0
ATUT SANGAM,0,222,0
AUDI AG,0,0,49
AUM ENGINEERING AND WORKS,0,0,1
AUTOECO GREEN ENERGY PVT LTD,0,53,0
AUTOHAUS PRIVATE LIMITED,0,2,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,11
A.V.AUTOMOTIVES PVT LTD,0,64,0
AVL ELECTRIC VEHICLES PVT LTD,0,241,0
AVON CYCLES LTD,0,63,0
AVTAR ENGINEERING WORKS,0,0,4
AWACHAT INDUSTRIES LTD,0,0,140
AYAAN ELECTRONIC PVT LTD,1,0,0
B24 ROKET EV,0,113,0
BABA E-VEHICLES,0,52,0
BABAJI ENGINEERING TRAILOR WORKS,0,0,3
BABA PRODUCT,0,0,11
BAGHWAN RIKSHAW UDYOG,0,6,0
BAJAJ AUTO LTD,196311,29934,42
BAJAJ IMPLEMENTS PVT. LTD,0,59,0
BALAJI AGRO INDUSTRIES,0,0,9
BALAN ENGINEERING PVT LTD,0,51,0
BAL GOPAL WHEELS PVT LTD,0,11,0
BALI AUTO INDUSTRIES,0,16,0
BANKU BODY BUILDER,0,0,3
BATTRE ELECTRIC MOBLITY PVT LTD,88,0,0
BAXY LTD,0,309,0
BEML LIMITED,0,0,2
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,67,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,16,0
BENTLEY MOTORS LIMITED,0,0,5
BEST WAY AGENCIES PVT LTD,0,382,0
BGAUSS AUTO PRIVATE LIMITED,713,0,0
BHADAURIA ENTERPRISES,0,6,0
BHAGAT AGRO INDUSTRIES,0,0,2
BHAGWAN AGRO INDUSTRIES,0,0,1
BHARATH AGRO PRODUCTS,0,0,1
BHAVE ELECTRIC VEHICLES PVT LTD,0,142,0
BHM INDUSTRIES,0,179,0
BHOGAL COMBINE SPARE PARTS,0,0,1
BHOYAR AGRO IND WARDHA,0,0,19
BIDISHA ENTERPRISES PVT LTD,0,0,3
BIG BULL TRADER PVT LTD,0,163,0
BIJNOR ENTERPRISES,0,2,0
BLIX CYCLES AND E-VEHICLES PVT LTD,1,0,0
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,42
BMW INDIA PVT LTD,648,0,1270
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,28,0,0
BOUNCE ELECTRIC 1 PVT LTD,79,0,0
BRIGHT AUTOZONE PVT LTD,0,186,0
BSERAIL ENGINEERING PVT LTD,0,5,0
BSMS AGRICULTURE WORKSHOP,0,0,2
BULL MACHINES PVT LTD,0,0,81
BYD INDIA PRIVATE LIMITED,0,0,157
CAPCO INDUSTRIES PVT LTD,0,6,0
CAPITAL AUTO INDUSTRIES,0,123,0
CAPTAIN TRACTORS PVT. LTD.,0,0,100
CART INDIA,0,31,0
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,161
CATERPILLAR INDIA PRIVATE LIMITED,0,0,231
CEEON INDIA,0,44,0
CELLETRON MOTOR WORKS,0,33,0
CHAMPION POLY PLAST,0,783,0
CHANDAKE-AUTOMOBILES LLP,0,3,0
CHANDANA CORPORATION,18,0,0
CHANNY AGRO INDUSTRIES,0,0,1
CHAUHAN AUTO INDUSTRIES,0,61,0
CHEHAK BATTERIES,0,36,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),13,0,0
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2,0,0
